ID,Product Name,Category,Type,Current Weight,Enter Weight (lbs),Enter Length,Enter Width,Enter Height
13890,"Light Rail Accessories","Grow Lights Ballast",grouped,0,,,,
13891,"Mondi Mist & Spray Premium Compression Sprayer 1.5 qt","Grow Tents AC INFINITY",simple,0,,,,
13892,"Mondi Mist & Spray Delux Compression Sprayer 1.2 qt","Grow Tents AC INFINITY",simple,0,,,,
13894,"Bypass Hand Shears","Grow Tents AC INFINITY",simple,0,,,,
13895,"Grommets","Fittings & Parts",grouped,0,,,,
13896,"Spigot for 6 Gal container","Fittings & Parts",simple,0,,,,
13899,"1 1/4 drain overflow tube","Fittings & Parts",simple,0,,,,
13902,"1/2 Barb Connectors","Fittings & Parts",grouped,0,,,,
13903,"The Bucket Basket","Fittings & Parts",grouped,0,,,,
13904,"Netpots","Pots & Containers",grouped,0,,,,
13905,"Site Plugs","Fittings & Parts",grouped,0,,,,
13906,"Snapture SnapStand","Fittings & Parts",grouped,0,,,,
13911,"24-DT-1 -- 24 Hour Clock Timer","Timers",grouped,0,,,,
13912,"LT4 - 4 Light Timer (120 or 240 V)","Timers",grouped,0,,,,
13914,"LS Series Light and High Load Switcher","Timers",grouped,0,,,,
13915,"ON /OFF Switcher 120V","Timers",grouped,0,,,,
13916,"Vortex Powerfans","Environmental Control",grouped,0,,,,
13918,"Backdraft Dampers","Environmental Control",grouped,0,,,,
13919,"Thermostatically Controlled Centrifugal Fans","Environmental Control",grouped,0,,,,
13924,"Original Can Fans","Environmental Control",grouped,0,,,,
13925,"Can Filters","Air Filtration",grouped,0,,,,
13926,"Can Filter Pre-Filters","Air Filtration",grouped,0,,,,
13927,"Can Filter Flanges","Air Filtration",grouped,0,,,,
13928,"Ducting","Environmental Control",grouped,0,,,,
13929,"Max-Fan","Environmental Control",grouped,0,,,,
13940,"PROfilter reversible carbon filters","Air Filtration",grouped,0,,,,
13941,"38-Special by Can-Filters","Air Filtration",grouped,0,,,,
13942,"The Rack - Collapsible Drying System","Drying & Extraction",grouped,0,,,,
13944,"The TRIMPRO","Trimmers",grouped,0,,,,
13945,"The TRIMPRO WORKSTATION","Trimmers",grouped,0,,,,
13949,"TRIMPRO ROTOR","Trimmers",grouped,0,,,,
13965,"Rare Earth","Nutrients & Supplements",grouped,0,,,,
14317,"COM-100: Waterproof EC / TDS / Temp Combo Meter","pH/EC/TDS Meters & Solutions",simple,0,,,,
14319,"PH-200: Waterproof pH Meter","pH/EC/TDS Meters & Solutions",simple,0,,,,
