ID,SKU,Name,Type,Action,Reason,New Parent SKU
13573,hmh00357,Humboldt Big Up Powder 10 lbs,simple,DELETE,Consolidated into 'Humboldt Big Up Powder' as variant,HMH-HUMBOLDT-BIG-UP-POWDER-CB25
13589,hmh00370,Humboldt Master B 2.5,simple,DELETE,Consolidated into 'Humboldt Master B' as variant,HMH-HUMBOLDT-MASTER-B-8C7F
13590,hmh00371,Humboldt Master B 5,simple,DELETE,Consolidated into 'Humboldt Master B' as variant,HMH-HUMBOLDT-MASTER-B-8C7F
13641,hmh00412,Flavor-Ful 2.5,simple,DELETE,Consolidated into 'Flavor-Ful' as variant,HMH-FLAVOR-FUL-2D4C
13642,hmh00413,Flavor-Ful 5,simple,DELETE,Consolidated into 'Flavor-Ful' as variant,HMH-FLAVOR-FUL-2D4C
13659,hmh00427,Myco Maximum Granular 8,simple,DELETE,Consolidated into 'Myco Maximum Granular' as variant,HMH-MYCO-MAXIMUM-GRANULAR-C43A
13662,hmh00429,Myco Maximum Granular 5 lbs,simple,DELETE,Consolidated into 'Myco Maximum Granular' as variant,HMH-MYCO-MAXIMUM-GRANULAR-C43A
13678,hmh00442,Humboldt Sticky Foliar Feed 16,simple,DELETE,Consolidated into 'Humboldt Sticky Foliar Feed' as variant,HMH-HUMBOLDT-STICKY-FOLIAR-FE-E93F
13680,hmh00443,Humboldt Sticky Foliar Feed 1,simple,DELETE,Consolidated into 'Humboldt Sticky Foliar Feed' as variant,HMH-HUMBOLDT-STICKY-FOLIAR-FE-E93F
13699,hmh00459,CalCarb Calcium Carbonate Foliar Spray 6,simple,DELETE,Consolidated into 'CalCarb Calcium Carbonate Foliar Spray' as variant,HMH-CALCARB-CALCIUM-CARBONATE-B133
13701,hmh00460,CalCarb Calcium Carbonate Foliar Spray 12,simple,DELETE,Consolidated into 'CalCarb Calcium Carbonate Foliar Spray' as variant,HMH-CALCARB-CALCIUM-CARBONATE-B133
13839,hmh00563,Garden Fungicide 32,simple,DELETE,Consolidated into 'Garden Fungicide' as variant,HMH-GARDEN-FUNGICIDE-D1BA
13841,hmh00564,Garden Fungicide 1,simple,DELETE,Consolidated into 'Garden Fungicide' as variant,HMH-GARDEN-FUNGICIDE-D1BA
13953,hmh00674,BioBud 2.5,simple,DELETE,Consolidated into 'BioBud' as variant,HMH-BIOBUD-AECB
13954,hmh00675,BioBud 6,simple,DELETE,Consolidated into 'BioBud' as variant,HMH-BIOBUD-AECB
13955,hmh00676,BioMarine 2.5,simple,DELETE,Consolidated into 'BioMarine' as variant,HMH-BIOMARINE-21A1
13956,hmh00677,BioMarine 6,simple,DELETE,Consolidated into 'BioMarine' as variant,HMH-BIOMARINE-21A1
13957,hmh00678,BioRoot 2.5,simple,DELETE,Consolidated into 'BioRoot' as variant,HMH-BIOROOT-D76A
13958,hmh00679,BioRoot 6,simple,DELETE,Consolidated into 'BioRoot' as variant,HMH-BIOROOT-D76A
13959,hmh00680,BioWeed 2.5,simple,DELETE,Consolidated into 'BioWeed' as variant,HMH-BIOWEED-2476
13960,hmh00681,BioWeed 6,simple,DELETE,Consolidated into 'BioWeed' as variant,HMH-BIOWEED-2476
13961,hmh00682,CaMg+ 2.5,simple,DELETE,Consolidated into 'CaMg+' as variant,HMH-CAMG-0591
13962,hmh00683,CaMg+ 6,simple,DELETE,Consolidated into 'CaMg+' as variant,HMH-CAMG-0591
13966,hmh00687,Rare Earth 1.5,simple,DELETE,Consolidated into 'Rare Earth' as variant,HMH-RARE-EARTH-CCEF
13969,hmh00689,Rare Earth 16,simple,DELETE,Consolidated into 'Rare Earth' as variant,HMH-RARE-EARTH-CCEF
14148,hmh00839,Screen Fitting (bag of 10),simple,DELETE,Consolidated into 'Screen Fitting' as variant,HMH-SCREEN-FITTING-FC56
70443,823,Screen Fitting (bag of 10),simple,DELETE,Consolidated into 'Screen Fitting' as variant,HMH-SCREEN-FITTING-FC56
14195,hmh00880,"T5 CFL Plantmax Warm 24W 3000K tube 2,280 lumens",simple,DELETE,Consolidated into 'T5 CFL Plantmax Warm' as variant,HMH-T5-CFL-PLANTMAX-WARM-5A4C
14198,hmh00882,T5 CFL Plantmax Warm 54W. 3000K tube 4800 lumens,simple,DELETE,Consolidated into 'T5 CFL Plantmax Warm' as variant,HMH-T5-CFL-PLANTMAX-WARM-5A4C
14233,hmh00910,Add a Lamp Hardware Kit (Trolley and mounting hardware),simple,DELETE,Consolidated into 'Add a Lamp Hardware Kit' as variant,HMH-ADD-A-LAMP-HARDWARE-KIT-A0E7
66946,895,Add a Lamp Hardware Kit (Trolley and mounting hardware),simple,DELETE,Consolidated into 'Add a Lamp Hardware Kit' as variant,HMH-ADD-A-LAMP-HARDWARE-KIT-A0E7
14266,hmh00934,4 Light Timer (120 V.),simple,DELETE,Consolidated into '4 Light Timer' as variant,HMH-4-LIGHT-TIMER-32A5
14268,hmh00935,4 Light timer (240 V.),simple,DELETE,Consolidated into '4 Light Timer' as variant,HMH-4-LIGHT-TIMER-32A5
14313,hmh00970,PPM-1500 TDS / 2.142 ms 8,simple,DELETE,Consolidated into 'PPM-1500 TDS / 2.142 ms' as variant,HMH-PPM-1500-TDS-2-142-MS-5FDD
14314,hmh00971,PPM-1500 TDS / 2.142 ms 16,simple,DELETE,Consolidated into 'PPM-1500 TDS / 2.142 ms' as variant,HMH-PPM-1500-TDS-2-142-MS-5FDD
14331,hmh00982,pH Up Dry 1.5 lb,simple,DELETE,Consolidated into 'pH Up Dry' as variant,HMH-PH-UP-DRY-98F9
14333,hmh00984,pH Up Dry 16 lb,simple,DELETE,Consolidated into 'pH Up Dry' as variant,HMH-PH-UP-DRY-98F9
14335,hmh00986,pH Down 1 qt,simple,DELETE,Consolidated into 'pH Down' as variant,HMH-PH-DOWN-99CA
14336,hmh00987,pH Down 1 gal,simple,DELETE,Consolidated into 'pH Down' as variant,HMH-PH-DOWN-99CA
