sku,name,type,dec31_image,local_file,status,slug_stem_tried
hmh00318,Carbo Blast 2.5 kg,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/carboblast.jpg,hmoonhydro.com\wp-content\uploads\2019\08\carboblast.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00320,Prop-O-Gator 500 ml,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/Propogator.jpg,hmoonhydro.com\wp-content\uploads\2019\08\Propogator.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00321,Prop-O-Gator 1 liter,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/Propogator.jpg,hmoonhydro.com\wp-content\uploads\2019\08\Propogator.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00330,Double Super B+ 4 liter,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/super_b_extra_strength.jpg,hmoonhydro.com\wp-content\uploads\2019\08\super_b_extra_strength.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00331,Double Super B+ 10 liter,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/super_b_extra_strength.jpg,hmoonhydro.com\wp-content\uploads\2019\08\super_b_extra_strength.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00332,Double Super B+ 23 liter,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/super_b_extra_strength.jpg,hmoonhydro.com\wp-content\uploads\2019\08\super_b_extra_strength.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00342,Humboldt Grow 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_grow.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_grow.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00346,Mayan Microzyme1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_mayan.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_mayan.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00351,Humboldt Bloom 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_bloom.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_bloom.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00359,Humboldt Sea Cal 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_sea-cal.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_sea-cal.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00362,Humboldt Sea Mag 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_sea-mag.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_sea-mag.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00365,Humboldt Master A 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_master_a.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_master_a.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00369,Humboldt Master B 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_master_b.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_master_b.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00373,Humboldt DueceDuece 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/duece_duece.jpg,hmoonhydro.com\wp-content\uploads\2019\08\duece_duece.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00376,Humboldt Oneness 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/oneness_small.jpg,hmoonhydro.com\wp-content\uploads\2019\08\oneness_small.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00389,Hydro-Deuce 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/hydro-deuce.jpg,hmoonhydro.com\wp-content\uploads\2019\08\hydro-deuce.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00398,Grow Natural 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_grow_natural.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_grow_natural.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00403,Bloom Natural 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_bloom_natural.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_bloom_natural.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00408,Hum-Bolt 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_hum-bolt.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_hum-bolt.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00411,Flavor-Ful 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_flavor-ful.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_flavor-ful.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00415,Verde Growth Catalyst 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/verde.jpg,hmoonhydro.com\wp-content\uploads\2019\08\verde.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00425,Myco Madness Soluble 1 lb,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_myco_soluble.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_myco_soluble.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00428,Myco Maximum Granular 1 lb,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_myco_granular.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_myco_granular.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00431,Humboldt Honey Hydro Carbs 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_honey_hydro_carbs.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_honey_hydro_carbs.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00435,Humboldt Honey ES 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_honey_es.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_honey_es.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00439,Humboldt Roots 125 ml,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_roots.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_roots.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00440,Humboldt Roots 250 ml,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_roots.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_roots.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00441,Humboldt Roots 500 ml,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/humboldt_roots.jpg,hmoonhydro.com\wp-content\uploads\2019\08\humboldt_roots.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00446,HYGROZYME 4 L,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/hygrozyme_bottles.jpg,hmoonhydro.com\wp-content\uploads\2019\08\hygrozyme_bottles.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00518,"8 in. Cool Tube with reflector socket w/ 15 ft cord - 24"" long",simple,https://hmoonhydro.com/wp-content/uploads/2019/08/ugrct8.jpg,hmoonhydro.com\wp-content\uploads\2019\08\ugrct8.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00602,Plantmax HPS Conversion (MH Ballast),grouped,https://hmoonhydro.com/wp-content/uploads/2019/08/LU360W-MH_BT28.jpg,hmoonhydro.com\wp-content\uploads\2019\08\LU360W-MH_BT28.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00726,"10"" CAN Filter Flange",simple,https://hmoonhydro.com/wp-content/uploads/2019/08/can-filters-flanges.jpg,hmoonhydro.com\wp-content\uploads\2019\08\can-filters-flanges.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00727,"12"" CAN Filter Flange",simple,https://hmoonhydro.com/wp-content/uploads/2019/08/can-filters-flanges.jpg,hmoonhydro.com\wp-content\uploads\2019\08\can-filters-flanges.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00740,"6"" Flange",simple,https://hmoonhydro.com/wp-content/uploads/2019/08/profilter.jpg,hmoonhydro.com\wp-content\uploads\2019\08\profilter.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00741,"8"" Flange",simple,https://hmoonhydro.com/wp-content/uploads/2019/08/profilter.jpg,hmoonhydro.com\wp-content\uploads\2019\08\profilter.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00742,"10"" Flange",simple,https://hmoonhydro.com/wp-content/uploads/2019/08/profilter.jpg,hmoonhydro.com\wp-content\uploads\2019\08\profilter.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00743,"12"" Flange",simple,https://hmoonhydro.com/wp-content/uploads/2019/08/profilter.jpg,hmoonhydro.com\wp-content\uploads\2019\08\profilter.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00784,8 in. Backdraft Damper,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/backdraft_dampers.jpg,hmoonhydro.com\wp-content\uploads\2019\08\backdraft_dampers.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00785,10 in. Backdraft Damper,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/backdraft_dampers.jpg,hmoonhydro.com\wp-content\uploads\2019\08\backdraft_dampers.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00786,12 in. Backdraft Damper,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/backdraft_dampers.jpg,hmoonhydro.com\wp-content\uploads\2019\08\backdraft_dampers.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00799,6 in. x 25 ft flexible duct W/ 2 clamps included,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/flex_duct.jpg,hmoonhydro.com\wp-content\uploads\2019\08\flex_duct.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00800,8 in. x 25 ft flexible duct w / 2 clamps included,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/flex_duct.jpg,hmoonhydro.com\wp-content\uploads\2019\08\flex_duct.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00801,10 in. x 25 ft flexible duct w/ 2 clamps included,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/flex_duct.jpg,hmoonhydro.com\wp-content\uploads\2019\08\flex_duct.jpg,PRODUCT_ABSENT_FROM_FEB12,
