sku,name,type,dec31_image,feb12_image,local_file,status
hmh00508,Ebb & Gro Monster System Controller,variable,https://hmoonhydro.com/wp-content/uploads/2019/09/Ebb-Gro-Monster-Controller-Module.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/be1bf53a__Ebb-Gro-Monster-Controller-Module-100x100_jpg.jpg,,IMAGE_CHANGED
hmh00547,Doktor Doom Total Fogger 5.5,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/doctor_doom-fogger.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/0229bb7f__doctor_doom-fogger.jpg,,IMAGE_CHANGED
hmh00553,Plantacillin 1 liter,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/plantacillin.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/06a8f41c__plantacillin.jpg,,IMAGE_CHANGED
hmh00555,Zero Tolerance <b>Pest Control</b> gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/zero_tolerence.jpg,"https://hmoonhydro.com/wp-content/uploads/2019/08/zero_tolerence.jpg, https://hmoonhydro.com/wp-content/uploads/2019/08/zero_tolerence.jpg",,IMAGE_CHANGED
hmh00559,TimeMist Purge I - 3.2,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/clear_air_purge1.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/6b262f49__timemist.jpg,,IMAGE_CHANGED
hmh00563,Garden Fungicide 32,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/safer_garden_fungicide.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e406b071__safer_garden_fungicide.jpg,,IMAGE_CHANGED
hmh00564,Garden Fungicide 1,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/safer_garden_fungicide.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e406b071__safer_garden_fungicide.jpg,,IMAGE_CHANGED
hmh00567,"2"" heavy duty neoprene collars (case of 200)",simple,https://hmoonhydro.com/wp-content/uploads/2019/09/51SjvyKjgTL._AC_.jpg||https://hmoonhydro.com/wp-content/uploads/2019/09/71reNVyN1BL._AC_SL1500_.jpg,"https://hmoonhydro.com/wp-content/uploads/2019/09/51SjvyKjgTL._AC_.jpg, https://hmoonhydro.com/wp-content/uploads/2019/09/71reNVyN1BL._AC_SL1500_.jpg",,IMAGE_CHANGED
hmh00571,Dual Diaphragm Air Pump,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/pump_dual_diaphram.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/a0e40e13__pump_dual_diaphram.jpg,,IMAGE_CHANGED
hmh00573,Mag Drive Pumps,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/mag_drive_pump.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/83d5a25f__mag_drive_pump.jpg,,IMAGE_CHANGED
hmh00583,Flowmaster - Meter 3/8 in,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/flowmaster.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/82cb1c54__flowmaster.jpg,,IMAGE_CHANGED
hmh00595,Control Wizard Accurate pH3,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/control_wizard_ph3.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/5bc805a9__control_wizard_ph3.jpg,,IMAGE_CHANGED
hmh00598,BADBOY HO Triphosphor Lamps,simple,https://hmoonhydro.com/wp-content/uploads/2019/09/badboy_bulbs.jpg||https://hmoonhydro.com/wp-content/uploads/2019/09/51wZPqJcqoL._SX425_.jpg||https://hmoonhydro.com/wp-content/uploads/2019/09/QT5-008-2.jpg,"https://hmoonhydro.com/wp-content/uploads/2019/09/51wZPqJcqoL._SX425_.jpg, https://hmoonhydro.com/wp-content/uploads/2019/09/QT5-008-2.jpg",,IMAGE_CHANGED
hmh00601,Plantmax SUPER High Pressure Sodium,simple,https://hmoonhydro.com/wp-content/uploads/2019/09/Plantmax-High-Pressure-Sodium-e1576439331190.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/3b61b93a__Plantmax-High-Pressure-Sodium-e1576439331190.jpg,,IMAGE_CHANGED
