SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
2072,,,,,,,,,,,,0845268003826,SKIP_MISSING_IN_SHOPIFY
2075,,,,,,,,,,,,36906131346416,SKIP_MISSING_IN_SHOPIFY
2077,,,,,,,,,,,,0617993000216,SKIP_MISSING_IN_SHOPIFY
2083,,,,,,,,,,,,0856372001400,SKIP_MISSING_IN_SHOPIFY
18,,,,,,,,,,,,0757900233204,SKIP_MISSING_IN_SHOPIFY
19,,,,,,,,,,,,0757900113209,SKIP_MISSING_IN_SHOPIFY
20,,,,,,,,,,,,0757900103200,SKIP_MISSING_IN_SHOPIFY
21,,,,,,,,,,,,0757900093204,SKIP_MISSING_IN_SHOPIFY
23,,,,,,,,,,,,0625664750070,SKIP_MISSING_IN_SHOPIFY
24,,,,,,,,,,,,0757900106409,SKIP_MISSING_IN_SHOPIFY
25,,,,,,,,,,,,0757900116408,SKIP_MISSING_IN_SHOPIFY
26,,,,,,,,,,,,0757900096403,SKIP_MISSING_IN_SHOPIFY
27,,,,,,,,,,,,0659627014046,SKIP_MISSING_IN_SHOPIFY
28,,,,,,,,,,,,0659627014053,SKIP_MISSING_IN_SHOPIFY
331,,,,,,,,,,,,0719812013428,SKIP_MISSING_IN_SHOPIFY
332,,,,,,,,,,,,4965280665188,SKIP_MISSING_IN_SHOPIFY
335,,,,,,,,,,,,0097395025008,SKIP_MISSING_IN_SHOPIFY
336,,,,,,,,,,,,6911111742224,SKIP_MISSING_IN_SHOPIFY
2058,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
2078,,,,,,,,,,,,0617993000223,SKIP_MISSING_IN_SHOPIFY
2084,,,,,,,,,,,,6911116004333,SKIP_MISSING_IN_SHOPIFY
2091,,,,,,,,,,,,0035355003420,SKIP_MISSING_IN_SHOPIFY
2093,,,,,,,,,,,,6911646425356,SKIP_MISSING_IN_SHOPIFY
68,,,,,,,,,,,,0793094016315,SKIP_MISSING_IN_SHOPIFY
70,,,,,,,,,,,,0793094016339,SKIP_MISSING_IN_SHOPIFY
71,,,,,,,,,,,,0793094016360,SKIP_MISSING_IN_SHOPIFY
72,,,,,,,,,,,,0080359011001,SKIP_MISSING_IN_SHOPIFY
73,,,,,,,,,,,,0080359090327,SKIP_MISSING_IN_SHOPIFY
78,,,,,,,,,,,,0793094016032,SKIP_MISSING_IN_SHOPIFY
1,,,,,,,,,,,,0890053002034,SKIP_MISSING_IN_SHOPIFY
14,,,,,,,,,,,,0757900291280,SKIP_MISSING_IN_SHOPIFY
