priority,unitsSold,hasSizeToken,sizeToken,hasLiquidHint,liquidCategory,nonLiquidCategory,blockedByNameTerm,Type,SKU,Name,Brands,Categories
69,0,no,,yes,no,no,no,simple,3009,TurboKloneT24 ClonerTurbo &Dome,Sunlight Supply inc.,propagation
70,0,no,,no,no,no,no,simple,3010,TurboKlone T48 Klone & Dome,Sunlight Supply inc.,propagation
71,0,no,,no,no,no,no,simple,3011,TurboKlone Klone Collars-1.6,Sunlight Supply inc.,propagation
72,0,no,,no,no,no,no,simple,1545,TurboClone Collas-52,Hawthorne Hydoponics LLC,Hydroponics Components
73,0,no,,no,no,no,no,simple,2895,Tru Hole1 1/8-1 1/Fitting,Nickel City Wholesale Garden Supply,irrigation
74,0,no,,no,no,yes,no,simple,815,Triming Bin Filter,Sunlight Supply inc.,Accessories
75,0,no,,no,no,no,no,simple,828,Trickel Stake & Line 12,NGW,Components
76,0,no,,no,no,yes,no,simple,2804,Trellis Netting 5x15 w/3.5 hole,Sunlight Supply inc.,Accessories
77,0,no,,no,no,yes,no,simple,2957,Trellis Netting 5`X30` (mesh),Nickel City Wholesale Garden Supply,Accessories
78,0,no,,no,no,yes,no,simple,2846,Titan Hercules 3 HI TEMP OFF,Sunlight Supply inc.,Environment Control
79,0,no,,no,yes,no,no,simple,998,Timemist Dispenser,NGW,pest_control
80,0,no,,yes,yes,no,no,simple,hmh00156,TimeMist Plus Programmable Dispenser,TimeMist,pest_control
81,0,no,,no,no,no,no,simple,1835,Time Mist Programmable,NGW,odor_control
82,0,no,,no,no,yes,no,simple,2531,Tight Vac Set of 5 (Black),Nickel City Wholesale Garden Supply,Accessories
83,0,no,,no,no,yes,no,simple,2516,Tight Vac 3oz NCWGS,Nickel City Wholesale Garden Supply,Accessories
84,0,no,,no,no,no,no,simple,hmh00640,Thermostatically Controlled Centrifugal Fans,Thermostatically Controlled,catalog_index
85,0,no,,no,no,no,no,simple,490,Texas Controller 16 units,Nickel City Wholesale Garden Supply,irrigation
86,0,no,,yes,yes,no,no,simple,3317,Terpify Essential Oil Intensifi,BFG,nutrients
87,0,no,,no,no,yes,no,simple,3436,TerpLock Original Pouch- cs,BFG,Accessories
88,0,no,,no,no,yes,no,simple,3435,TerpLoc Original Pouch - ea,BFG,Accessories
89,0,no,,no,no,yes,no,simple,3430,Terp Lock 62% 1/8,groVE BAG,Accessories
90,0,no,,no,no,yes,no,simple,3431,Terp Lock 62% 1/4,groVE BAG,Accessories
91,0,no,,no,no,yes,no,simple,3432,Terp Lock 62% 1/2 pound,groVE BAG,Accessories
92,0,no,,no,no,no,no,simple,783,Tee 1/4,NGW,irrigation
93,0,no,,no,no,yes,no,simple,858,Tarp Zip Up,NGW,Accessories
94,0,no,,yes,yes,no,no,simple,2776,"Tarantula Liquid Fertilizer,Qts",Advanced Nutrients,nutrients
95,0,no,,yes,yes,no,no,simple,hmh01018,Tarantula Beneficial Bacteria,Tarantula Beneficial,nutrients
96,0,no,,no,no,no,no,simple,452,TallBoy Green CocoCarbon Filter,Nickel City Wholesale Garden Supply,Hydroponics Components
97,0,no,,no,no,no,no,simple,1669,Tall Boy™ with KDF85 Catalytic,Nickel City Wholesale Garden Supply,odor_control
98,0,no,,no,no,no,no,simple,1439,Tall Boy Upgraded w/ KDF85,Nickel City Wholesale Garden Supply,odor_control
99,0,no,,no,no,no,no,simple,298,Tall Boy De-Chlor & Sediment,NGW,odor_control
100,0,no,,no,no,yes,no,simple,1283,TV2 Thermostatic Fan Control,Nickel City Wholesale Garden Supply,Environment Control
101,0,no,,no,no,yes,no,simple,1282,TV1 Thermostatic Fan Control,Nickel City Wholesale Garden Supply,Environment Control
102,0,no,,no,no,yes,no,simple,hmh01255,TRIMPRO UNPLUGGED,Nickel City Wholesale Garden Supply,Accessories
103,0,no,,no,no,no,no,simple,2347,TRIMPRO ROTOR,Nickel City Wholesale Garden Supply,trimming
104,0,no,,no,no,yes,no,simple,1277,TP3 High Temp Shut-Off,Hawthorne Hydoponics LLC,Environment Control
105,0,no,,no,no,yes,no,simple,1276,TP2 Adjustable Tempstat,Nickel City Wholesale Garden Supply,Environment Control
106,0,no,,no,no,yes,no,simple,1275,TP1 Day/Night Tempstat,Nickel City Wholesale Garden Supply,Environment Control
107,0,no,,no,no,no,no,simple,hmh00572,TNC Water Pump,Nickel City Wholesale Garden Supply,irrigation
108,0,no,,no,no,no,no,simple,1975,TNB Trimming Shears 2,BFG,harvesting
109,0,no,,no,no,no,no,simple,2014,TNB Trimming Curved blade,BFG,trimming
110,0,no,,no,no,yes,no,simple,1266,THC-1 Total Humidity Controller,Nickel City Wholesale Garden Supply,controllers_timers
111,0,no,,yes,no,yes,no,simple,3071,TEAMING WITH FUNGI The Organic Growers Guide to Mycorrhizae,Nickel City Wholesale Garden Supply,books
112,0,no,,yes,no,yes,no,simple,hmh00582,TDS Monitor DM-2 Industrial Dual TDS Monitor,,ph_meters
113,0,no,,no,no,yes,no,simple,1436,TDS Monitor 1/in/out,Nickel City Wholesale Garden Supply,ph_meters
114,0,no,,no,no,no,no,simple,2252,T5/24 Sunlite 865 K lamp HO,Nickel City Wholesale Garden Supply,grow_lights
115,0,no,,no,no,no,no,simple,1826,T5 Tripho Bulbs 8pk(Red),Nickel City Wholesale Garden Supply,grow_lights
116,0,no,,no,no,no,no,simple,2006,T5 3' Replacement Bulb 65K,Nickel City Wholesale Garden Supply,grow_lights
117,0,no,,no,no,no,no,simple,2919,T5 3' Replacement Bulb 29K,Nickel City Wholesale Garden Supply,grow_lights
118,0,no,,no,no,yes,no,simple,1264,T12VDC 12v DC Transformer,Nickel City Wholesale Garden Supply,Environment Control
119,0,no,,no,no,yes,no,simple,3309,T.O. Plastics Press Fill Carry,BFG,Accessories
120,0,no,,no,no,no,no,simple,349,Syringe 100cc,NGW,irrigation
121,0,no,,yes,yes,no,no,simple,3406,Syngerite Bonzi Groth Hormone q,BFG,nutrients
122,0,no,,no,no,no,no,simple,1724,Sylvania 750w HPS,NGW,grow_lights
123,0,no,,no,no,yes,no,simple,207,Sure Shot Measurer,NGW,Accessories
124,0,no,,no,no,no,no,simple,1362,Supreme Air pump-3 1030 GPH,Sunlight Supply inc.,irrigation
125,0,no,,no,no,no,no,simple,1463,Supreme Air Pump 1 Outlet 29 GP,Hawthorne Hydoponics LLC,irrigation
126,0,no,,no,no,no,no,simple,1552,Support Stakes 4,NGW,Components
127,0,no,,no,no,no,no,simple,3024,SuperSprout Neo Insert2orange,Sunlight Supply inc.,Hydroponics Components
128,0,no,,no,no,no,no,simple,3377,SuperSpore Mushroom Grain Bag 4,D.L. Wholesale,grow_media
129,0,no,,no,no,no,no,simple,3023,Super Sprout Neop Insert blue,Sunlight Supply inc.,Hydroponics Components
130,0,no,,no,no,no,no,simple,362,Super Spreader Large,NGW,Lighting Equipment
131,0,no,,yes,yes,no,no,simple,1676,Super PHOS Rock 0-9-0/3,BFG,nutrients
132,0,no,,no,no,no,no,simple,1419,Sunmaster MH Warm Deluxe,NGW,grow_lights
133,0,no,,no,no,no,no,simple,1520,Sunmaster MH Neutral,NGW,grow_lights
134,0,no,,no,no,no,no,simple,1517,Sunmaster MH Cool Deluxe,NGW,grow_lights
135,0,no,,no,no,no,no,simple,1519,Sunmaster MH Conversion,NGW,grow_lights
136,0,no,,no,no,no,no,simple,hmh01705,Sunblaster 200W CF 6400k,Nickel City Wholesale Garden Supply,hid_bulbs
137,0,no,,no,no,no,no,simple,hmh01704,Sunblaster 125W CF 2500k,Nickel City Wholesale Garden Supply,hid_bulbs
