Id,Name,Slug,"Term Taxonomy Id",Taxonomy,"Parent Id","Parent Slug",Description,"Term Group",Count,"Category Image","Woocommerce Term Meta"
378,"Air Pumps",air-pumps,378,product_cat,0,,,0,8,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""5"";}}"
379,"Water Pumps",water-pumps,379,product_cat,0,,,0,23,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""7"";}}"
380,"Water Filtration",water-filtration,380,product_cat,0,,,0,37,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""12"";}}"
381,"pH/EC/TDS Meters &amp; Solutions",ph-ec-tds-meters-solutions,381,product_cat,0,,,0,55,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""16"";}}"
382,Philips,philips-bulbs,382,product_cat,362,bulbs,,0,3,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""2"";}}"
383,Plantmax,plantmax-bulbs,383,product_cat,362,bulbs,,0,32,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""7"";}}"
384,"T5 Bulbs",t5-bulbs,384,product_cat,362,bulbs,,0,9,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""2"";}}"
385,SolarMAX,solarmax-bulbs,385,product_cat,362,bulbs,,0,12,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""3"";}}"
386,"Light Movers",light-movers,386,product_cat,354,grow-lights-ballast,,0,20,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""4"";}}"
388,"Fittings &amp; Parts",fittings-parts,388,product_cat,0,,,0,47,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""14"";}}"
391,Timers,timers,391,product_cat,0,,,0,23,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""12"";}}"
392,"Fans &amp; Blowers",fans-blowers,392,product_cat,0,,,0,69,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""18"";}}"
393,"Air Filtration",air-filtration,393,product_cat,0,,,0,85,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""12"";}}"
394,"Drying &amp; Extraction",drying-extraction,394,product_cat,0,,,0,20,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""8"";}}"
395,Trimmers,trimmers,395,product_cat,0,,,0,36,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""12"";}}"
399,"Advanced Nutrients",advanced-nutrients,399,product_cat,332,nutrients-supplements,,0,90,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""22"";}}"
401,FoxFarm,foxfarm,401,product_cat,332,nutrients-supplements,,0,39,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""13"";}}"
403,"Socket/Cord Sets",socket-cord-sets,403,product_cat,354,grow-lights-ballast,,0,5,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""5"";}}"
404,"DigiLamp 945 CMH",digilamp-945-cmh-bulbs,404,product_cat,362,bulbs,,0,3,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""2"";}}"
405,Botanicare,botanicare,405,product_cat,332,nutrients-supplements,,0,35,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""12"";}}"
408,Dyna-Gro,dyna-gro,408,product_cat,332,nutrients-supplements,,0,11,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""4"";}}"
409,"Earth Juice",earth-juice,409,product_cat,332,nutrients-supplements,,0,15,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""6"";}}"
410,"Grower's Accessories",growers-accessories,410,product_cat,0,,,0,5,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""3"";}}"
412,"Grow Tents",grow-tents,412,product_cat,0,,,0,6,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""3"";}}"
414,"Electronic Ballast",electronic-ballast,414,product_cat,354,grow-lights-ballast,,0,20,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""11"";}}"
415,"Nectar For The Gods",nectar-for-the-gods,415,product_cat,332,nutrients-supplements,,0,38,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""12"";}}"
419,"New Millenium",new-millenium,419,product_cat,332,nutrients-supplements,,0,41,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""10"";}}"
421,"315 CMH Electronic Ballast",315-cmh-electronic-ballast,421,product_cat,354,grow-lights-ballast,,0,22,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""8"";}}"
