base_key,handle_count,category,has_consolidated_handle,sku_match_ratio,suggested_action,handles,sample_product_names,vendors,product_types
liquid-ton-o-bud,6,archive,no,1.00,Archive legacy single products; already covered in consolidated import,liquid-ton-o-bud-1l|liquid-ton-o-bud-2-5-gal|liquid-ton-o-bud-250ml|liquid-ton-o-bud-4l|liquid-ton-o-bud-500ml|liquid-ton-o-bud-6-gal,Liquid Ton O Bud 6 gal|Liquid Ton-O-Bud 1L|Liquid Ton-O-Bud 2.5 gal|Liquid Ton-O-Bud 250ml|Liquid Ton-O-Bud 4L,H Moon Hydro,simple
max-fan-cfm,6,archive,no,1.00,Archive legacy single products; already covered in consolidated import,10-max-fan-1023-cfm|12-max-fan-1709-cfm|14-max-fan-1823-cfm|16-max-fan-2436-cfm|18-max-fan-3490-cfm|8-max-fan-675-cfm,"10"" Max-Fan, 1023 CFM|12"" Max-Fan, 1709 CFM|14"" Max-Fan, 1823 CFM|16"" Max-Fan, 2436 CFM|18"" Max-Fan, 3490 CFM",H Moon Hydro,simple
plantmax-hps-high-output-lumens,6,archive,no,1.00,Archive legacy single products; already covered in consolidated import,plantmax-150w-hps-high-output-16000-lumens|plantmax-250w-hps-high-output-29000-lumens|plantmax-400w-hps-high-output-50000-lumens|plantmax-430w-hps-high-output-58000-lumens|plantmax-600w-hps-high-output-90000-lumens|plantmax-750w-hps-high-output-106000-lumens,"Plantmax 150W. HPS High Output 16,000 lumens|Plantmax 250W. HPS High Output 29,000 lumens|Plantmax 400W. HPS High Output 50,000 lumens|Plantmax 430W. HPS High Output 58,000 lumens|Plantmax 600W. HPS High Output 90,000 lumens",H Moon Hydro,simple
plantmax-mh-high-output-lumens,6,create,no,0.00,Create new variant group,plantmax-1000w-72k-mh-high-output-90000-lumens|plantmax-1000w-72k-mh-high-output-90000-lumens-2|plantmax-1000w-mh-high-output-120000-lumens|plantmax-250w-mh-high-output-24000-lumens|plantmax-400w-72k-mh-high-output-32000-lumens|plantmax-400w-mh-high-output-39000-lumens,"Plantmax 1000W. 72K MH High Output 90,000 lumens|Plantmax 1000W. MH High Output 120,000 lumens|Plantmax 250W. MH High Output 24,000 lumens|Plantmax 400W. 72K MH High Output 32,000 lumens|Plantmax 400W. MH High Output 39,000 lumens",H Moon Hydro,simple
pre-filter-for-model-pro,6,archive,no,1.00,Archive legacy single products; already covered in consolidated import,pre-filter-for-model-pro-100|pre-filter-for-model-pro-125|pre-filter-for-model-pro-45s|pre-filter-for-model-pro-50|pre-filter-for-model-pro-70s|pre-filter-for-model-pro-75,Pre-Filter for Model Pro 100|Pre-Filter for Model Pro 125|Pre-Filter for Model Pro 45s|Pre-Filter for Model Pro 50|Pre-Filter for Model Pro 70s,H Moon Hydro,simple
thick-mylar-roll,6,archive,no,1.00,Archive legacy single products; already covered in consolidated import,1mm-thick-100-mylar-roll|1mm-thick-25-mylar-roll|1mm-thick-50-mylar-roll|2mm-thick-100-mylar-roll|2mm-thick-25-mylar-roll|2mm-thick-50-mylar-roll,1mm Thick 100' Mylar Roll|1mm Thick 25' Mylar Roll|1mm Thick 50' Mylar Roll|2mm Thick 100' Mylar Roll|2mm Thick 25' Mylar Roll,H Moon Hydro,simple
biobud,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,biobud|biobud-1-gal|biobud-1-qt|biobud-2-5-gal|biobud-6-gal,BioBud|BioBud 1 gal|BioBud 1 qt|BioBud 2.5 gal|BioBud 6 gal,H Moon Hydro,grouped|simple
biomarine,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,biomarine|biomarine-1-gal|biomarine-1-qt|biomarine-2-5-gal|biomarine-6-gal,BioMarine|BioMarine 1 gal|BioMarine 1 qt|BioMarine 2.5 gal|BioMarine 6 gal,H Moon Hydro,grouped|simple
bioweed,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,bioweed|bioweed-1-gal|bioweed-1-qt|bioweed-2-5-gal|bioweed-6-gal,BioWeed|BioWeed 1 gal|BioWeed 1 qt|BioWeed 2.5 gal|BioWeed 6 gal,H Moon Hydro,grouped|simple
camg,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,camg|camg-1-gal|camg-1-qt|camg-2-5-gal|camg-6-gal,CaMg+|CaMg+ 1 gal|CaMg+ 1 qt|CaMg+ 2.5 gal|CaMg+ 6 gal,H Moon Hydro,grouped|simple
