Published,Tags,Type,Vendor,Body (HTML),Title,Handle,Variant SKU,Variant Price,Variant Barcode,Cost per item
,,,,,,,hmh00241,27.98,0793094017008,13.33
,,,,,,,hmh00242,42.19,0793094017015,21.99
,,,,,,,hmh00243,151.95,0793094017039,71.65
,,,,,,,hmh00244,151.95,0793094017039,71.65
,,,,,,,hmh00245,1200.00,0793094053358,546.0
,,,,,,,hmh00246,1200.00,0793094053358,546.0
,,,,,,,hmh00247,67.08,0692222267545,33.53
,,,,,,,hmh00248,45.00,0682863044720,22.5
,,,,,,,hmh00249,22.44,0659627000018,12.0
,,,,,,,hmh00250,238.50,0793094053259,119.99
,,,,,,,hmh00251,67.08,0692222267545,33.53
,,,,,,,hmh00252,45.00,0682863044720,22.5
,,,,,,,hmh00253,24.31,0793094053129,13.5
,,,,,,,hmh00254,45.00,0682863044720,22.5
,,,,,,,hmh00255,16.98,0793094053624,8.49
,,,,,,,hmh00256,52.95,0793094053631,26.15
,,,,,,,hmh00257,16.32,0691111169008,8.35
,,,,,,,hmh00259,16.32,0666884701732,8.35
,,,,,,,hmh00260,16.32,0666884701732,8.35
,,,,,,,hmh00261,16.32,131313476879809,8.8
,,,,,,,hmh00263,89.95,44464645342242333,50.0
,,,,,,,hmh00264,89.95,44464645342242333,50.0
,,,,,,,hmh00265,89.95,121132446357485786,50.0
,,,,,,,hmh00266,89.95,121132446357485786,50.0
,,,,,,,hmh00273,46.68,0666884701480,16.0
,,,,,,,hmh00276,16.32,131313476879809,8.8
,,,,,,,hmh00277,16.32,131313476879809,8.8
,,,,,,,hmh00278,146.63,0691111116294,82.25
,,,,,,,hmh00282,21.51,0691111669435,12.15
,,,,,,,hmh00283,43.01,0691111669031,24.25
,,,,,,,hmh00284,146.63,0691111116294,82.25
,,,,,,,hmh00285,42.98,0718122810604,18.19
,,,,,,,hmh00286,42.98,0718122810604,18.19
,,,,,,,hmh00287,79.95,0718122811007,36.43
,,,,,,,hmh00288,151.95,0718122809806,75.95
