Published,Tags,Type,Vendor,Body (HTML),Title,Handle,Variant SKU,Variant Price,Variant Barcode,Cost per item
,,,,,,,hmh00916,73.29,0793094027014,48.0
,,,,,,,hmh00917,102.14,0793094027038,62.4
,,,,,,,hmh00918,5.85,,3.8
,,,,,,,hmh00920,49.00,0051000100238,40.0
,,,,,,,hmh00921,90.00,0051000100245,72.0
,,,,,,,hmh00922,206.89,0051000100252,132.0
,,,,,,,hmh00923,20.95,,
,,,,,,,hmh00924,30.95,,
,,,,,,,hmh00925,87.93,0870883005146,52.0
,,,,,,,hmh00926,48.95,,
,,,,,,,hmh00927,87.93,0870883005146,52.0
,,,,,,,hmh00930,220.00,,
,,,,,,,hmh00931,305.00,,
,,,,,,,hmh00932,10.95,11111111555555555,5.95
,,,,,,,hmh00933,10.95,11111111555555555,5.95
,,,,,,,hmh00934,233.45,0741559020230,200.0
,,,,,,,hmh00935,253.58,0074155902031,240.0
,,,,,,,hmh00936,335.00,,
,,,,,,,hmh00937,400.00,,
,,,,,,,hmh00938,141.74,0832522003012,81.35
,,,,,,,hmh00939,619.95,,
,,,,,,,hmh00940,759.95,,
,,,,,,,hmh00941,11.95,0012111011622,
,,,,,,,hmh00942,11.95,0012111011622,
,,,,,,,hmh00943,16.95,0121110116211,
,,,,,,,hmh00944,16.95,0121110116211,
,,,,,,,hmh00945,11.95,0012111011622,
,,,,,,,hmh00946,41.95,0812111010096,11.0
,,,,,,,hmh00947,4.64,0812111010706,2.75
,,,,,,,hmh00948,41.06,0812111010065,19.0
,,,,,,,hmh00949,4.89,0812111010591,3.0
,,,,,,,hmh00950,5.62,0812111010355,3.5
,,,,,,,hmh00951,4.89,0812111010591,3.0
,,,,,,,hmh00952,13.69,0812111010171,8.0
,,,,,,,hmh00953,30.30,,18.0
,,,,,,,hmh00954,10.75,0812111010157,6.0
,,,,,,,hmh00955,16.50,0812111010454,9.5
,,,,,,,hmh00956,14.17,0812111010126,8.6
,,,,,,,hmh00957,16.50,0812111010454,9.5
,,,,,,,hmh00958,89.95,0812111010164,54.0
,,,,,,,hmh00959,184.75,0812111010225,116.0
,,,,,,,hmh00960,61.58,0812111011307,38.0
,,,,,,,hmh00961,53.76,0812111010409,34.0
,,,,,,,hmh00962,129.00,,
,,,,,,,hmh00964,48.83,0069111100010,25.0
,,,,,,,hmh00966,7.37,0793094015516,3.77
,,,,,,,hmh00967,7.37,0793094015516,3.77
,,,,,,,hmh00968,11.73,0000010000021,5.0
,,,,,,,hmh00969,11.73,0000010000021,5.0
,,,,,,,hmh00970,8.02,0793094015714,4.1
,,,,,,,hmh00971,8.02,0793094015714,4.1
,,,,,,,hmh00972,39.05,0699111177756,19.95
,,,,,,,hmh00973,73.26,0891144000007,44.97
,,,,,,,hmh00974,69.00,0891144000021,59.95
,,,,,,,hmh00976,34.16,6999911111509,20.0
,,,,,,,hmh00977,64.95,,
,,,,,,,hmh00978,34.95,,
,,,,,,,hmh00979,11.73,0000010000021,5.0
,,,,,,,hmh00980,29.24,0793094015233,13.75
,,,,,,,hmh00981,29.24,0793094015233,13.75
,,,,,,,hmh00982,63.05,0793094015271,32.26
,,,,,,,hmh00984,63.05,0793094015271,32.26
,,,,,,,hmh00985,9.99,0000340000029,4.0
,,,,,,,hmh00986,14.95,0793094015325,5.38
,,,,,,,hmh00987,14.95,0793094015325,5.38
,,,,,,,hmh00988,14.08,0793094015356,5.3
,,,,,,,hmh00989,7.37,0793094015417,3.77
,,,,,,,hmh00990,21.02,0793094015424,10.75
,,,,,,,hmh00991,7.37,0793094015516,3.77
,,,,,,,hmh00992,21.02,0793094015523,10.75
,,,,,,,hmh00993,8.02,0793094015714,4.1
,,,,,,,hmh00995,10.99,0793094015158,3.77
,,,,,,,hmh00996,10.52,0793094015165,5.39
,,,,,,,hmh00997,8.95,,
,,,,,,,hmh01010,35.00,0845268013863,20.0
,,,,,,,hmh01021,49.98,0845268000016,28.44
,,,,,,,hmh01022,200.00,,100.0
,,,,,,,hmh01023,425.00,0860007760853,425.0
,,,,,,,hmh01024,45.67,0845268001846,20.81
,,,,,,,hmh01025,45.67,0845268001846,20.81
,,,,,,,hmh01026,45.67,0845268001846,20.81
,,,,,,,hmh01027,45.67,0845268001846,20.81
,,,,,,,hmh01028,167.49,,100.45
,,,,,,,hmh01029,23.99,0845268000269,11.89
,,,,,,,hmh01030,167.91,0845268000276,83.25
,,,,,,,hmh01031,35.50,0845268001808,16.6
,,,,,,,hmh01032,35.50,0845268001808,16.6
,,,,,,,hmh01033,179.00,0092236034135,83.0
,,,,,,,hmh01036,23.99,0845268000399,14.95
,,,,,,,hmh01037,65.98,0845268000405,32.71
,,,,,,,hmh01038,50.97,0845268000474,25.27
,,,,,,,hmh01039,45.00,0682863044720,22.5
,,,,,,,hmh01040,23.99,0845268001105,11.89
,,,,,,,hmh01041,56.99,0845268001112,28.25
,,,,,,,hmh01042,23.99,0845268001051,11.89
,,,,,,,hmh01043,23.99,0845268001051,11.89
,,,,,,,hmh01044,28.98,0845268004762,12.5
,,,,,,,hmh01045,45.00,0682863044720,22.5
,,,,,,,hmh01046,42.68,0845268001259,19.33
,,,,,,,hmh01047,45.00,0682863044720,22.5
,,,,,,,hmh01048,425.00,0860007760853,425.0
,,,,,,,hmh01049,32.75,0845268004694,16.24
,,,,,,,hmh01050,57.30,0845268002720,28.41
,,,,,,,hmh01051,18.66,0845268003932,7.8
,,,,,,,hmh01052,67.00,1466787879974,33.0
,,,,,,,hmh01053,149.00,3557648899999,86.0
,,,,,,,hmh01054,18.66,0845268003932,7.8
,,,,,,,hmh01055,149.00,3557648899999,86.0
,,,,,,,hmh01056,18.56,0845268002676,8.46
,,,,,,,hmh01057,92.99,0793094016742,37.5
,,,,,,,hmh01058,18.56,0845268002676,8.46
,,,,,,,hmh01059,92.99,0793094016841,37.5
,,,,,,,hmh01060,39.40,0000000000239,
,,,,,,,hmh01061,45.00,0682863044720,22.5
,,,,,,,hmh01062,402.00,6899765111666,201.55
,,,,,,,hmh01063,32.75,0845268004700,16.24
,,,,,,,hmh01064,57.30,0845268003338,28.41
,,,,,,,hmh01065,30.89,0845268005042,19.75
,,,,,,,hmh01066,45.95,6599627014145,15.0
,,,,,,,hmh01067,30.89,0845268005042,19.75
,,,,,,,hmh01068,45.95,0659627014152,15.0
,,,,,,,hmh01069,61.96,8718104122529,28.03
,,,,,,,hmh01070,107.96,0845268001921,53.52
,,,,,,,hmh01071,52.50,0849969032949,28.88
,,,,,,,hmh01083,30.99,0793094014526,10.88
,,,,,,,hmh01084,67.00,1466787879974,33.0
,,,,,,,hmh01087,30.29,0752289790201,19.26
,,,,,,,hmh01088,26.95,0755361012031,14.25
,,,,,,,hmh01091,30.29,0752289790225,14.35
,,,,,,,hmh01092,104.29,0752289790324,35.75
,,,,,,,hmh01103,11.44,0837654466018,5.85
,,,,,,,hmh01105,9.99,0624493141318,5.3
,,,,,,,hmh01106,9.99,0624493141349,5.3
,,,,,,,hmh01108,39.05,0624493113018,24.25
,,,,,,,hmh01109,39.05,0624493113018,24.25
,,,,,,,hmh01110,17.55,0624493122027,10.75
,,,,,,,hmh01111,39.05,0624493123024,24.25
,,,,,,,hmh01112,164.17,0624493124021,101.0
,,,,,,,hmh01113,17.55,0624493122041,10.75
,,,,,,,hmh01114,39.05,0624493123048,24.95
,,,,,,,hmh01115,39.05,0624493123048,24.95
,,,,,,,hmh01116,24.39,0624493166908,
,,,,,,,hmh01117,11.68,0624493111328,7.25
,,,,,,,hmh01118,9.99,0624493141318,5.3
,,,,,,,hmh01120,233.45,0741559020223,200.0
,,,,,,,hmh01121,253.58,0741559020285,240.0
,,,,,,,hmh01122,253.58,0741559020285,240.0
,,,,,,,hmh01123,68.38,0752686295071,19.0
,,,,,,,hmh01124,87.93,6911111166885,42.0
,,,,,,,hmh01125,78.15,0752686295057,22.0
,,,,,,,hmh01127,2.20,0851856003628,0.93
,,,,,,,hmh01128,2.57,0851856003635,1.17
,,,,,,,hmh01129,3.20,0851856003642,1.45
,,,,,,,hmh01131,5.36,0851856003666,2.4
,,,,,,,hmh01132,6.12,0851856003673,2.76
,,,,,,,hmh01133,7.48,0851856003918,4.05
,,,,,,,hmh01134,9.95,,5.5
,,,,,,,hmh01135,11.89,0851856003932,6.49
,,,,,,,hmh01136,14.54,0851856003543,8.05
,,,,,,,hmh01137,16.89,,9.07
,,,,,,,hmh01138,18.69,0851856003574,10.45
,,,,,,,hmh01139,21.89,0851856003598,11.2
,,,,,,,hmh01140,26.88,,13.89
,,,,,,,hmh01148,22.99,0793094017626,10.5
,,,,,,,hmh01149,263.00,0793094018059,131.25
,,,,,,,hmh01150,139.99,,66.15
,,,,,,,hmh01152,62.99,0793094017534,29.4
,,,,,,,hmh01153,133.00,0793094018043,
,,,,,,,hmh01155,12.95,,
,,,,,,,hmh01156,25.99,0793094017725,8.1
,,,,,,,hmh01157,425.00,0860007760853,425.0
,,,,,,,hmh01158,131.00,0793094017749,72.0
,,,,,,,hmh01168,27.83,0757900090326,14.0
,,,,,,,hmh01169,67.60,0757900091286,35.0
,,,,,,,hmh01170,27.83,0757900100322,14.0
,,,,,,,hmh01171,68.98,0757900101282,35.0
,,,,,,,hmh01172,27.83,0757900110321,14.0
,,,,,,,hmh01173,73.00,0757900111281,32.0
,,,,,,,hmh01174,45.62,0757900260323,25.0
,,,,,,,hmh01175,45.00,0682863044720,22.5
,,,,,,,hmh01176,35.09,0757900200329,20.0
,,,,,,,hmh01177,84.50,0757900201289,46.5
,,,,,,,hmh01178,14.17,0757900290320,7.25
,,,,,,,hmh01179,24.34,0757900240325,9.75
,,,,,,,hmh01180,63.00,0757900241285,24.25
,,,,,,,hmh01181,14.66,0757900230326,6.65
,,,,,,,hmh01182,45.00,0682863044720,22.5
,,,,,,,hmh01183,22.39,0757900210328,9.15
,,,,,,,hmh01184,52.58,0757900211288,29.0
,,,,,,,hmh01186,8.95,0692236093545,5.24
,,,,,,,hmh01188,39.05,0691111606467,
,,,,,,,hmh01190,1.89,10876395000584,0.45
,,,,,,,hmh01191,2.29,10876395000591,0.65
,,,,,,,hmh01192,3.62,10876395000607,0.9
,,,,,,,hmh01193,3.10,10876395000614,1.43
,,,,,,,hmh01195,5.82,0691111064332,3.45
,,,,,,,hmh01196,6.79,0691111106453,3.95
,,,,,,,hmh01197,2.46,6911111772200,0.89
,,,,,,,hmh01198,1.99,121211212121212111,1.79
,,,,,,,hmh01199,1.15,,
,,,,,,,hmh01200,1.15,,
,,,,,,,hmh01201,155.42,0691111464623,104.99
,,,,,,,hmh01208,30.89,0845268003437,15.8
,,,,,,,hmh01209,30.89,0845268003437,15.8
,,,,,,,hmh01210,30.89,0845268003437,15.8
,,,,,,,hmh01211,30.89,0845268003437,15.8
,,,,,,,hmh01212,18.66,0845268002942,8.58
,,,,,,,hmh01213,18.66,0845268002942,8.58
,,,,,,,hmh01214,149.00,3557648899999,86.0
,,,,,,,hmh01215,18.66,0845268002942,8.58
,,,,,,,hmh01216,18.66,0845268002942,8.58
,,,,,,,hmh01217,149.00,3557648899999,86.0
,,,,,,,hmh01218,18.46,0845268003017,9.19
,,,,,,,hmh01219,18.46,0845268003017,9.19
,,,,,,,hmh01220,145.00,0793094000079,78.95
,,,,,,,hmh01221,18.46,0845268003017,9.19
,,,,,,,hmh01222,18.46,0845268003017,9.19
,,,,,,,hmh01223,145.00,0793094000079,78.95
,,,,,,,hmh01224,45.00,0682863044782,22.5
,,,,,,,hmh01226,16.10,0691613431350,8.05
,,,,,,,hmh01227,16.10,0691613431350,8.05
,,,,,,,hmh01228,50.34,0069111163250,25.75
,,,,,,,hmh01229,16.10,0691613431350,8.05
,,,,,,,hmh01232,140.00,0692236110372,58.95
,,,,,,,hmh01233,190.00,0692236110242,64.95
,,,,,,,hmh01237,10.99,,
,,,,,,,hmh01240,378.29,0840470000236,228.0
,,,,,,,hmh01245,127.03,,64.95
,,,,,,,hmh01246,166.13,,84.95
,,,,,,,hmh01247,99.00,6911116465656,62.0
,,,,,,,hmh01255,349.95,,
,,,,,,,hmh01259,87.00,,
,,,,,,,hmh01261,20.98,0870883005313,8.84
,,,,,,,hmh01262,21.50,0870883005320,11.95
,,,,,,,hmh01263,24.92,0870883005337,13.5
,,,,,,,hmh01264,45.44,0870883005344,24.8
,,,,,,,hmh01268,229.66,0691111167654,111.0
,,,,,,,hmh01273,10.25,0024654554504,5.72
,,,,,,,hmh01275,22.00,0080359010325,11.0
,,,,,,,hmh01276,45.00,0682863044720,22.5
,,,,,,,hmh01277,28.99,0080359020324,11.0
,,,,,,,hmh01279,67.00,1466787879974,33.0
,,,,,,,hmh01287,12.88,0727644132316,7.44
,,,,,,,hmh01297,30.95,,
,,,,,,,hmh01301,52.95,0035307018359,30.0
,,,,,,,hmh01309,9.58,0870883008451,4.9
,,,,,,,hmh01310,11.24,0870883005306,5.75
,,,,,,,hmh01314,21.99,0870883005405,7.92
,,,,,,,hmh01316,59.58,0870883005641,40.5
,,,,,,,hmh01317,111.00,0870883008390,61.75
,,,,,,,hmh01321,13.95,0713757878005,5.95
,,,,,,,hmh01322,2.33,0793094066037,0.97
,,,,,,,hmh01323,1.01,0870883008284,0.5
,,,,,,,hmh01325,1531.34,0840470002261,705.0
,,,,,,,hmh01326,4.30,0870883005962,2.2
,,,,,,,hmh01327,5.87,0870883005979,3.0
,,,,,,,hmh01329,54.31,0840470005057,25.0
,,,,,,,hmh01330,86.90,0840470005071,40.0
,,,,,,,hmh01331,108.64,0840470005088,50.0
,,,,,,,hmh01333,2.06,0840470001813,0.94
,,,,,,,hmh01334,2.06,0840470001813,0.94
,,,,,,,hmh01335,270.00,,137.0
,,,,,,,hmh01336,270.00,,137.0
,,,,,,,hmh01337,270.00,,137.0
,,,,,,,hmh01338,270.00,,137.0
,,,,,,,hmh01339,270.00,,137.0
,,,,,,,hmh01340,13.99,12443222133422,8.98
,,,,,,,hmh01341,13.99,12443222133422,8.98
,,,,,,,hmh01342,102.89,0692236032674,54.67
,,,,,,,hmh01343,102.89,0692236032674,54.67
,,,,,,,hmh01344,102.89,0692236032674,54.67
,,,,,,,hmh01345,102.89,0692236032674,54.67
,,,,,,,hmh01347,119.99,0692236032810,47.45
,,,,,,,hmh01348,119.99,0692236032810,47.45
,,,,,,,hmh01349,59.99,0692236032902,23.7
,,,,,,,hmh01350,13.99,12443222133422,8.98
,,,,,,,hmh01351,23.99,0692236000253,8.76
,,,,,,,hmh01353,10.70,0624493111427,4.97
,,,,,,,hmh01354,10.70,0624493111427,4.97
,,,,,,,hmh01356,77.00,0659627009011,40.0
,,,,,,,hmh01357,77.00,0659627009011,40.0
,,,,,,,hmh01359,12.78,5025644913894,6.5
,,,,,,,hmh01363,30.59,0765462021368,14.1
,,,,,,,hmh01364,75.65,0765462016364,34.1
,,,,,,,hmh01365,30.59,,
,,,,,,,hmh01369,49.85,0692236000086,30.76
,,,,,,,hmh01370,91.69,0692236000093,56.95
,,,,,,,hmh01372,22.58,0812863010382,11.0
,,,,,,,hmh01373,61.58,0812863010399,30.0
,,,,,,,hmh01375,14.66,0812863010139,7.5
,,,,,,,hmh01376,90.00,0812863010153,49.5
,,,,,,,hmh01381,289.00,0000200000381,129.0
,,,,,,,hmh01382,289.00,0000200000381,129.0
,,,,,,,hmh01384,41.06,0812863010634,20.0
,,,,,,,hmh01385,123.17,0812863010641,60.0
,,,,,,,hmh01387,19.55,0812863010337,10.0
,,,,,,,hmh01388,58.65,0812863010344,30.0
,,,,,,,hmh01390,17.45,0812863010092,8.5
,,,,,,,hmh01391,51.32,0812863010085,25.0
,,,,,,,hmh01392,102.64,0812863010108,50.0
,,,,,,,hmh01394,12.32,0812863010283,6.0
,,,,,,,hmh01395,38.99,0812863010290,18.0
,,,,,,,hmh01396,76.98,0812863010306,37.5
,,,,,,,hmh01398,15.40,0812863010481,7.5
,,,,,,,hmh01399,46.19,0812863010498,22.5
,,,,,,,hmh01401,15.40,0812863010023,7.5
,,,,,,,hmh01402,46.19,0812863010030,22.5
,,,,,,,hmh01403,92.37,0812863010103,45.0
,,,,,,,hmh01405,15.40,0812863010238,7.5
,,,,,,,hmh01406,46.19,0812863010245,22.5
,,,,,,,hmh01408,15.40,0812863010535,7.5
,,,,,,,hmh01409,46.19,0812863010542,22.5
,,,,,,,hmh01410,21.51,0812863010436,11.0
,,,,,,,hmh01414,36.95,0812863010740,18.0
,,,,,,,hmh01417,89.60,0849969010268,52.0
,,,,,,,hmh01418,89.60,0849969010268,52.0
,,,,,,,hmh01419,34.16,0638104100038,17.95
,,,,,,,hmh01420,59.99,0628836162053,40.0
,,,,,,,hmh01422,52.95,,
,,,,,,,hmh01423,103.71,0845268000948,51.42
,,,,,,,hmh01424,35.50,0845268001808,16.6
,,,,,,,hmh01431,43.95,69114577652323,23.88
,,,,,,,hmh01432,12.95,0908765432114,5.9
,,,,,,,hmh01434,46.69,,
,,,,,,,hmh01435,138.95,,
,,,,,,,hmh01439,9.88,,
,,,,,,,hmh01443,25.42,0045635032019,13.0
,,,,,,,hmh01446,67.08,0692222267545,33.53
,,,,,,,hmh01447,203.88,6922222605605,101.94
,,,,,,,hmh01448,402.00,6899765111666,201.55
,,,,,,,hmh01450,21.48,0673681033935,10.74
,,,,,,,hmh01451,61.70,0692222266441,30.85
,,,,,,,hmh01452,120.70,0691222264645,60.35
,,,,,,,hmh01454,28.35,0692222296462,17.25
,,,,,,,hmh01455,225.00,4545454564564646,
,,,,,,,hmh01456,225.00,4545454564564646,
,,,,,,,hmh01458,26.84,0692222656563,13.5
,,,,,,,hmh01459,80.49,0692222605264,40.24
,,,,,,,hmh01460,187.78,0691262605611,93.89
,,,,,,,hmh01462,21.48,0692222222300,10.74
,,,,,,,hmh01463,61.70,0692222232620,30.85
,,,,,,,hmh01464,120.70,1212676880909,61.0
,,,,,,,hmh01466,21.48,0692226260650,10.74
,,,,,,,hmh01467,61.70,6922223535356,30.85
,,,,,,,hmh01469,120.70,0976467901115,60.35
,,,,,,,hmh01471,58.45,0892753002628,35.0
,,,,,,,hmh01472,641.48,0087611143326,320.3
,,,,,,,hmh01473,425.00,0860007760853,425.0
,,,,,,,hmh01475,48.28,0673681034727,24.14
,,,,,,,hmh01476,509.68,1947372811119191,254.78
,,,,,,,hmh01477,289.70,0649906580775,144.85
,,,,,,,hmh01478,7.99,0692236090810,8.95
,,,,,,,hmh01480,14.99,0692236090834,12.25
,,,,,,,hmh01481,42.99,0692236000642,24.48
,,,,,,,hmh01482,31.99,0628836091728,19.91
,,,,,,,hmh01486,16.48,0692236072229,7.22
,,,,,,,hmh01490,39.95,0691111776677,16.0
,,,,,,,hmh01493,39.05,0624493123048,24.95
,,,,,,,hmh01494,39.05,0624493123123,24.25
,,,,,,,hmh01511,300.00,,352.0
,,,,,,,hmh01517,149.95,0639125621007,89.0
,,,,,,,hmh01518,149.95,0639125621007,89.0
,,,,,,,hmh01520,94.95,0639125516280,49.0
,,,,,,,hmh01524,321.00,0077890359198,147.66
,,,,,,,hmh01525,321.00,0077890359198,147.66
,,,,,,,hmh01526,321.00,0077890359198,147.66
,,,,,,,hmh01528,199.00,0626853107170,141.0
,,,,,,,hmh01529,28.99,30300399399333,
,,,,,,,hmh01531,87.00,,
,,,,,,,hmh01539,45.89,0696859061806,27.0
,,,,,,,hmh01540,158.36,0696859061455,95.0
,,,,,,,hmh01541,158.36,0696859061455,95.0
,,,,,,,hmh01542,27.32,0000291000062,15.0
,,,,,,,hmh01543,11.95,0012111011622,
,,,,,,,hmh01544,98.24,0696859061417,49.0
,,,,,,,hmh01553,169.95,0696859061769,39.96
,,,,,,,hmh01556,15.89,,
,,,,,,,hmh01557,15.89,,
,,,,,,,hmh01558,99.00,,81.0
,,,,,,,hmh01559,99.00,,81.0
,,,,,,,hmh01560,99.00,,81.0
,,,,,,,hmh01561,99.00,,81.0
,,,,,,,hmh01562,99.00,,81.0
,,,,,,,hmh01563,99.00,,81.0
,,,,,,,hmh01584,102.59,0696859061448,49.95
,,,,,,,hmh01585,128.75,0696859061431,61.0
,,,,,,,hmh01586,166.13,0696859061462,81.0
,,,,,,,hmh01587,215.00,0696859061479,104.95
,,,,,,,hmh01588,269.95,,
,,,,,,,hmh01595,250.00,,
,,,,,,,hmh01597,34.95,987987987987987,
,,,,,,,hmh01598,34.95,987987987987987,
,,,,,,,hmh01600,429.00,,
,,,,,,,hmh01602,22.24,0659627000056,12.0
,,,,,,,hmh01603,56.10,0659627000063,26.0
,,,,,,,hmh01604,56.10,0659627000063,26.0
,,,,,,,hmh01606,22.44,0659627000018,12.0
,,,,,,,hmh01607,56.10,0659627000025,26.0
,,,,,,,hmh01608,56.10,0659627000025,26.0
,,,,,,,hmh01612,22.44,0659627000179,12.0
,,,,,,,hmh01613,119.00,0659627000193,
,,,,,,,hmh01614,119.00,0659627000193,
,,,,,,,hmh01616,22.44,0659627000292,12.0
,,,,,,,hmh01617,22.44,0659627000254,12.0
,,,,,,,hmh01618,56.10,,26.0
,,,,,,,hmh01619,56.10,,26.0
,,,,,,,hmh01625,19.00,8718104121751,10.52
,,,,,,,hmh01626,84.95,,42.95
,,,,,,,hmh01627,19.00,8718104121492,10.52
,,,,,,,hmh01628,19.00,8718104121492,10.52
,,,,,,,hmh01633,139.00,0639125578219,79.5
,,,,,,,hmh01651,22.97,0820103321402,15.67
,,,,,,,hmh01652,45.00,0682863044720,22.5
,,,,,,,hmh01655,233.18,8718104121638,116.59
,,,,,,,hmh01659,24.00,0013964095616,12.48
,,,,,,,hmh01660,85.05,0013964095623,44.24
,,,,,,,hmh01662,19.30,0091037753526,9.56
,,,,,,,hmh01663,115.86,0091037753540,57.93
,,,,,,,hmh01671,260.00,0653341230843,148.15
,,,,,,,hmh01675,32.00,,
,,,,,,,hmh01676,44.97,,23.0
,,,,,,,hmh01678,33.60,8718104123038,16.0
,,,,,,,hmh01679,84.07,,43.0
,,,,,,,hmh01681,61.96,8718104122529,28.03
,,,,,,,hmh01682,93.45,8718104122536,42.28
,,,,,,,hmh01684,113.20,,56.6
,,,,,,,hmh01685,113.20,,56.6
,,,,,,,hmh01686,113.00,8718104122130,56.6
,,,,,,,hmh01687,113.00,8718104122130,56.6
,,,,,,,hmh01689,20.95,8718104122116,9.95
,,,,,,,hmh01690,113.20,8718104122048,56.6
,,,,,,,hmh01691,20.95,0000297000066,9.95
,,,,,,,hmh01692,113.00,8718104122130,56.6
,,,,,,,hmh01696,134.95,0019962828447,99.0
,,,,,,,hmh01704,56.71,6911111107764,35.95
,,,,,,,hmh01705,49.95,0692236000758,43.95
,,,,,,,hmh01708,99.99,0850016034212,36.0
,,,,,,,hmh01709,45.00,0682863044706,22.5
,,,,,,,hmh01710,134.95,0019962828447,99.0
,,,,,,,hmh01712,94.95,0639125516280,49.0
,,,,,,,hmh01713,10.95,0927992183022,3.0
,,,,,,,hmh01717,89.00,,
,,,,,,,hmh01722,10.95,0927992183022,3.0
,,,,,,,hmh01726,78.15,0691111779646,37.0
,,,,,,,hmh01727,78.15,0691111779646,37.0
,,,,,,,hmh01728,58.60,0691111796532,27.0
,,,,,,,hmh01730,9.25,0653703304144,5.0
,,,,,,,hmh01731,9.25,0653703304144,5.0
,,,,,,,hmh01733,58.60,0752686296061,16.0
,,,,,,,hmh01736,99.00,0000100000993,62.0
,,,,,,,hmh01744,12.78,5025644913894,6.5
,,,,,,,hmh01745,52.00,0811915020010,23.95
,,,,,,,hmh01746,52.00,0811915020010,23.95
,,,,,,,hmh01747,100.95,0811915020119,59.95
,,,,,,,hmh01749,30.00,0659627000520,15.0
,,,,,,,hmh01750,39.00,0659627000537,25.0
,,,,,,,hmh01752,30.00,0659627000520,15.0
,,,,,,,hmh01753,39.00,0659627000537,25.0
,,,,,,,hmh01754,19.99,0689319019967,11.52
,,,,,,,hmh01757,3.29,0084305387684,1.99
,,,,,,,hmh01758,3.29,0084305387684,1.99
,,,,,,,hmh01759,2.99,,
,,,,,,,hmh01760,8.92,6911110656563,3.8
,,,,,,,hmh01762,45.00,0637390787145,36.0
,,,,,,,hmh01763,45.00,0637390787145,36.0
,,,,,,,hmh01765,16.95,,
,,,,,,,hmh01771,1650.00,131331112121111121,900.0
,,,,,,,hmh01773,1650.00,131331112121111121,900.0
,,,,,,,hmh01775,1650.00,131331112121111121,900.0
,,,,,,,hmh01777,1650.00,131331112121111121,900.0
,,,,,,,hmh01782,35.00,,
,,,,,,,hmh01783,24.00,,20.0
,,,,,,,hmh01785,179.00,0653341231543,74.95
,,,,,,,hmh01788,149.95,0639125621007,89.0
,,,,,,,hmh01792,36.50,0793094000284,19.0
,,,,,,,hmh01796,8.95,60714360078860,5.59
,,,,,,,hmh01797,8.95,60714360078860,5.59
,,,,,,,hmh01799,17.03,,
,,,,,,,hmh01802,14.99,0714360078240,9.0
,,,,,,,hmh01805,42.95,0714360024018,28.76
,,,,,,,hmh01806,42.95,0714360024018,28.76
,,,,,,,hmh01808,10.95,0714360078226,6.35
,,,,,,,hmh01809,60.00,0714360032259,39.0
,,,,,,,hmh01811,30.35,0714360078134,15.95
,,,,,,,hmh01812,85.99,0714360019663,36.0
,,,,,,,hmh01814,42.95,0714360024018,28.76
,,,,,,,hmh01823,200.00,,100.0
,,,,,,,hmh01825,2133.00,5656378828281,1016.5
,,,,,,,hmh01826,40.99,0793094014236,15.94
,,,,,,,hmh01827,40.99,0793094014236,15.94
,,,,,,,hmh01828,149.00,3557648899999,86.0
,,,,,,,hmh01829,2133.00,5656378828281,1016.5
,,,,,,,hmh01830,115.34,0793094016230,43.75
,,,,,,,hmh01832,234.77,,102.6
,,,,,,,hmh01844,83.90,0692236034135,38.75
,,,,,,,hmh01845,13.99,12443222133422,8.98
,,,,,,,hmh01847,36.98,0692236030946,45.52
,,,,,,,hmh01848,270.00,,137.0
,,,,,,,hmh01850,36.98,0692236030946,45.52
,,,,,,,hmh01851,102.89,0692236032674,54.67
,,,,,,,hmh01855,20.99,0692236070744,6.66
,,,,,,,hmh01856,57.99,0692236070751,22.31
,,,,,,,hmh01857,114.00,0692236070768,38.95
,,,,,,,hmh01858,115.89,0793094019217,59.95
,,,,,,,hmh01861,166.95,0757900203207,105.0
,,,,,,,hmh01862,66.50,0080359021000,33.25
,,,,,,,hmh01870,6.29,0024774005504,2.7
,,,,,,,hmh01903,135.00,0860166001002,60.0
,,,,,,,hmh01907,34.88,0673681034826,17.44
,,,,,,,hmh01908,1399.24,69959323882828,699.62
,,,,,,,hmh01909,466.42,17889000876653,233.32
,,,,,,,hmh01910,466.42,17889000876653,233.32
,,,,,,,hmh01934,519.00,0639125900010,365.0
,,,,,,,hmh01938,32.99,0793094019200,18.32
,,,,,,,hmh01939,115.89,0793094019217,59.95
,,,,,,,hmh2011,265.00,0803590950010,130.0
,,,,,,,hmh2012,265.00,0803590950010,130.0
,,,,,,,hmh2014,475.69,0840470006697,219.0
