Item Number,Item Name,Item Description,Brief Description,Alternate Lookup,Attribute,Size,Average Unit Cost,Regular Price,MSRP,Custom Price 1,Custom Price 2,Custom Price 3,Custom Price 4,UPC,Tax Code,Order Cost,Order By Unit,Sell By Unit,Item Type,Base Unit of Measure,Income Account,Company Reorder Point,COGS Account,Asset Account,Print Tags,Unorderable,Serial Tracking,Eligible for Commission,Department Name,Department Code,Vendor Name,Vendor Code,Manufacturer,Weight,Qty 1,Qty 2,Qty 3,Qty 4,Qty 5,Qty 6,Qty 7,Qty 8,Qty 9,Qty 10,Qty 11,Qty 12,Qty 13,Qty 14,Qty 15,Qty 16,Qty 17,Qty 18,Qty 19,Qty 20,On Order Qty,Reorder Point 1,Reorder Point 2,Reorder Point 3,Reorder Point 4,Reorder Point 5,Reorder Point 6,Reorder Point 7,Reorder Point 8,Reorder Point 9,Reorder Point 10,Reorder Point 11,Reorder Point 12,Reorder Point 13,Reorder Point 14,Reorder Point 15,Reorder Point 16,Reorder Point 17,Reorder Point 18,Reorder Point 19,Reorder Point 20,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Eligible for Rewards,Vendor Name 2,UPC 2,Alternate Lookup 2,Order Cost 2,Vendor Name 3,UPC 3,Alternate Lookup 3,Order Cost 3,Vendor Name 4,UPC 4,Alternate Lookup 4,Order Cost 4,Vendor Name 5,UPC 5,Alternate Lookup 5,Order Cost 5,Unit of Measure 1,# of Base Units for UOM 1,UPC for UOM 1,Alternate Lookup for UOM 1,Regular Price for UOM 1,MSRP for UOM 1,Custom Price 1 for UOM 1,Custom Price 2 for UOM 1,Custom Price 3 for UOM 1,Custom Price 4 for UOM 1,Unit of Measure 2,# of Base Units for UOM 2,UPC for UOM 2,Alternate Lookup for UOM 2,Regular Price for UOM 2,MSRP for UOM 2,Custom Price 1 for UOM 2,Custom Price 2 for UOM 2,Custom Price 3 for UOM 2,Custom Price 4 for UOM 2,Unit of Measure 3,# of Base Units for UOM 3,UPC for UOM 3,Alternate Lookup for UOM 3,Regular Price for UOM 3,MSRP for UOM 3,Custom Price 1 for UOM 3,Custom Price 2 for UOM 3,Custom Price 3 for UOM 3,Custom Price 4 for UOM 3,Sync to Mobile,__qty_total__,__on_order_qty__,__regular_price__
1689,Y-Connector 6x6x6,6x6x6 Y Duct Connector,,,,1 Pc,10.8,19.5,0,19.5,19.5,19.5,19.5,0691111032210,Tax,10.8,,,Inventory,,,,,,Yes,No,No,No,Environment Control,ENV,NGW,NGW,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,-1.0,0,19.5
1716,Ona Gel PRO-Repack Tub,Ona Odor Control,,,,1 tub,0,17.55,0,17.6,17.55,17.55,17.55,6911111064552,Tax,0,,,Inventory,,,,,,Yes,Yes,No,No,Accessories,ACC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0.0,0,17.55
1766,Uv Sterilizer Kit,For Use w/ Stealth RO Systems,,,,1 Box,0,96.77,0,96.77,96.77,96.77,96.77,0812111010423,Tax,0,,,Inventory,,,,,,Yes,No,No,No,Environment Control,ENV,Nickel City Wholesale Garden Supply,NCW,,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,4.0,0,96.77
1801,Large T-Labels 10pk,Plant Labels T Shaped,,,,10 Pk,1.112,3.79,0,3.79558,3.79,3.79,3.79,0035307008206,Tax,1.112,,,Inventory,,,,,,Yes,Yes,No,No,Accessories,ACC,,,,0,17,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,13.0,0,3.79
1856,Prop-O-Gator 125ml,Propagation solution,,,,125 ml,0,9.77,0,9.77,9.77,9.77,9.77,0691111462520,Tax,0,,,Inventory,,,,,,Yes,Yes,No,No,Nutrients,NUT,System,SYS,FHD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0.0,0,9.77
1690,Y-Connector 8x6x6,8x6x6 Y Duct Connector,,,,1 Pc,0,19.5,0,19.5,19.5,19.5,19.5,0691111145252,Tax,10.8,,,Inventory,,,,,,Yes,No,No,No,Environment Control,ENV,NGW,NGW,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0.0,0,19.5
1829,Rain Forest 36 insert Lid Kit,"6-3"" Net Cups, Hydroton & Basket liners",,,,1 Box,0,32.26,0,32.26,32.26,32.26,32.26,0793094061100,Tax,19.8,,,Inventory,,,,,,Yes,No,No,No,Complete Systems,SYS,NGW,NGW,General Hydroponics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1.0,0,32.26
1857,Super Double B+ 500ml,B vitamins,,,,250 ml,11.09,22.98,0,22.98,22.98,22.98,22.98,69111146235120,Tax,0,,,Inventory,,,,,,Yes,Yes,No,No,Nutrients,NUT,System,SYS,FHD,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,4.0,0,22.98
1629,HollandSecret MicroHW 10L 5-0-2,HollandSecret MicroHW 10L 5-0-2,,,,10 Liter,37.95,75.95,0,75.95,75.95,75.95,75.95,0718122811106,Tax,36.43,,,Inventory,Single,,,,,Yes,No,No,No,Nutrients,NUT,Nickel City Wholesale Garden Supply,NCW,FHD,0,2,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2.0,0,75.95
1691,Y-Connector 8x8x8,8x8x8 Y Duct COnnector,,,,1 Pc,9.53242,21.46,0,21.46,21.46,21.46,21.46,0691111106530,Tax,12.6,,,Inventory,,,,,,Yes,No,No,No,Environment Control,ENV,NGW,NGW,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,3.0,0,21.46
