SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
1673,,,,,2,,,,,,,0069111146328,SKIP_MISSING_IN_SHOPIFY
1706,,,,,0,,,,,,,69111111050421,SKIP_MISSING_IN_SHOPIFY
1733,gid://shopify/ProductVariant/42665849847882,dyna-bloom-quart,DRAFT,1,2,1,28.99,,11.0,,0080359020324,0080359020324,READY_TO_UPDATE
1917,,,,,0,,,,,,,0793094016759,SKIP_MISSING_IN_SHOPIFY
1674,,,,,0,,,,,,,0752289790911,SKIP_MISSING_IN_SHOPIFY
1734,gid://shopify/ProductVariant/42665874784330,sunblaster-200w-cf-6400k-2,ACTIVE,4,1,-3,49.95,,43.95,,0692236000758,0692236000758,READY_TO_UPDATE
1846,,,,,14,,,,,,,0870883009335,SKIP_MISSING_IN_SHOPIFY
1918,gid://shopify/ProductVariant/42665812918346,10-in-backdraft-damper,DRAFT,2,1,-1,34.76,,21.33,,0840470004043,0840470004043,REVIEW_DUPLICATE
1918,gid://shopify/ProductVariant/42665813049418,12-in-backdraft-damper,DRAFT,2,1,-1,34.76,,21.33,,0840470004043,0840470004043,REVIEW_DUPLICATE
1675,,,,,0,,,,,,,0752289790928,SKIP_MISSING_IN_SHOPIFY
1735,gid://shopify/ProductVariant/42665872883786,sunblaster-125w-cf-2500k-2,ACTIVE,2,2,0,56.71,,35.95,,6911111107764,6911111107764,NO_CHANGE
1847,,,,,4,,,,,,,0840470002209,SKIP_MISSING_IN_SHOPIFY
1937,,,,,1,,,,,,,,SKIP_MISSING_IN_SHOPIFY
1736,,,,,2,,,,,,,0639125626507,SKIP_MISSING_IN_SHOPIFY
1759,,,,,0,,,,,,,0870883007041,SKIP_MISSING_IN_SHOPIFY
1821,,,,,5,,,,,,,0718122519323,SKIP_MISSING_IN_SHOPIFY
1920,,,,,6,,,,,,,0624493112028,SKIP_MISSING_IN_SHOPIFY
1938,,,,,39,,,,,,,0691111106546,SKIP_MISSING_IN_SHOPIFY
1760,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
1822,,,,,0,,,,,,,0718122519224,SKIP_MISSING_IN_SHOPIFY
1849,,,,,3,,,,,,,0689076048460,SKIP_MISSING_IN_SHOPIFY
1939,,,,,3,,,,,,,69111111160560,SKIP_MISSING_IN_SHOPIFY
1952,gid://shopify/ProductVariant/42665854566474,gro-pro-12-air-pot,ACTIVE,16,16,0,8.92,,3.8,,6911110656563,6911110656563,NO_CHANGE
1678,,,,,0,,,,,,,0752289790331,SKIP_MISSING_IN_SHOPIFY
1823,,,,,0,,,,,,,0692236000048,SKIP_MISSING_IN_SHOPIFY
1940,,,,,0,,,,,,,0689076421669,SKIP_MISSING_IN_SHOPIFY
1650,,,,,0,,,,,,,,SKIP_MISSING_IN_SHOPIFY
1679,,,,,0,,,,,,,0752289790317,SKIP_MISSING_IN_SHOPIFY
1909,,,,,4,,,,,,,0624493123147,SKIP_MISSING_IN_SHOPIFY
1923,,,,,2,,,,,,,0870883005719,SKIP_MISSING_IN_SHOPIFY
1941,,,,,1,,,,,,,0025033125858,SKIP_MISSING_IN_SHOPIFY
1651,,,,,0,,,,,,,,SKIP_MISSING_IN_SHOPIFY
1680,,,,,0,,,,,,,0752289790348,SKIP_MISSING_IN_SHOPIFY
