ProductID,Handle,SKU,Existing,Incoming
gid://shopify/Product/8043120132170,liquid-koolbloom-0-10-12,hmh00240,DRAFT,ACTIVE
gid://shopify/Product/8043128848458,rapid-start,hmh00241,DRAFT,ACTIVE
gid://shopify/Product/8043128979530,rapid-start,hmh00242,DRAFT,ACTIVE
gid://shopify/Product/8043128651850,rapid-start,hmh00243,DRAFT,ACTIVE
gid://shopify/Product/8043128750154,rapid-start,hmh00244,DRAFT,ACTIVE
gid://shopify/Product/8043099193418,bcuzz-bio-nrg-bloom-c,hmh00257,DRAFT,ACTIVE
gid://shopify/Product/8043097915466,bcuzz-bio-nrg-flavor,hmh00259,DRAFT,ACTIVE
gid://shopify/Product/8043098013770,bcuzz-bio-nrg-flavor,hmh00260,DRAFT,ACTIVE
gid://shopify/Product/8043098079306,bcuzz-bio-nrg-growth-c,hmh00261,DRAFT,ACTIVE
gid://shopify/Product/8043099258954,bcuzz-hydro-nutrients,hmh00263,DRAFT,ACTIVE
gid://shopify/Product/8043100078154,bcuzz-hydro-nutrients,hmh00264,DRAFT,ACTIVE
gid://shopify/Product/8043100504138,bcuzz-hydro-nutrients,hmh00265,DRAFT,ACTIVE
gid://shopify/Product/8043097096266,bcuzz-hydro-nutrients,hmh00266,DRAFT,ACTIVE
gid://shopify/Product/8043099291722,bcuzz-growth-stimulator,hmh00276,DRAFT,ACTIVE
gid://shopify/Product/8043100209226,bcuzz-growth-stimulator,hmh00277,DRAFT,ACTIVE
gid://shopify/Product/8043099619402,bcuzz-growth-stimulator,hmh00278,DRAFT,ACTIVE
gid://shopify/Product/8043099422794,bcuzz-root-stimulator,hmh00282,DRAFT,ACTIVE
gid://shopify/Product/8043100274762,bcuzz-root-stimulator,hmh00283,DRAFT,ACTIVE
gid://shopify/Product/8043100143690,bcuzz-root-stimulator,hmh00284,DRAFT,ACTIVE
gid://shopify/Product/8043100897354,better-bloom-12-34-12,hmh00301,DRAFT,ACTIVE
gid://shopify/Product/8043100864586,better-bloom-12-34-12,hmh00302,DRAFT,ACTIVE
gid://shopify/Product/8043118428234,jungle-green-17-15-17,hmh00304,DRAFT,ACTIVE
gid://shopify/Product/8043118919754,jungle-green-17-15-17,hmh00305,DRAFT,ACTIVE
gid://shopify/Product/8043129339978,royal-black,hmh00306,DRAFT,ACTIVE
gid://shopify/Product/8043129307210,royal-black,hmh00307,DRAFT,ACTIVE
gid://shopify/Product/8043129569354,royal-gold,hmh00308,DRAFT,ACTIVE
gid://shopify/Product/8043129634890,royal-gold,hmh00309,DRAFT,ACTIVE
gid://shopify/Product/8043102928970,bud-boom,hmh00313,DRAFT,ACTIVE
gid://shopify/Product/8043103748170,bud-boom,hmh00314,DRAFT,ACTIVE
gid://shopify/Product/8043102175306,bud-boom,hmh00315,DRAFT,ACTIVE
gid://shopify/Product/8043119345738,bud-boom,hmh01339,DRAFT,ACTIVE
gid://shopify/Product/8043119411274,bud-boom,hmh01340,DRAFT,ACTIVE
gid://shopify/Product/8043119444042,bud-boom,hmh01341,DRAFT,ACTIVE
gid://shopify/Product/8043119378506,bud-boom,hmh01350,DRAFT,ACTIVE
gid://shopify/Product/8043119181898,bud-boom,hmh01844,DRAFT,ACTIVE
gid://shopify/Product/8043119476810,bud-boom,hmh01845,DRAFT,ACTIVE
gid://shopify/Product/8043102273610,bud-start,hmh00316,DRAFT,ACTIVE
