SKU,Reason,Status,Details
hmh00927,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00930,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00931,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00932,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00933,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00934,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00935,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00936,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00937,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00938,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00939,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00940,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00941,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00942,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00943,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00944,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00945,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00946,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00947,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00948,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00949,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00950,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00951,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00952,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00953,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00954,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00955,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00956,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00957,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00958,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00959,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00960,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00961,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00962,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00964,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00966,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00967,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00968,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00969,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00970,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00971,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00972,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00973,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00974,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00976,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00977,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00978,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00979,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00980,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00981,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00982,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00984,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00985,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00986,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00987,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00988,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00989,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00990,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00991,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00992,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00993,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00995,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00996,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh00997,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh00998,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01003,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01004,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01005,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01006,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01007,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01008,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01009,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01010,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01011,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01012,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01013,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01014,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01015,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01016,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01017,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01018,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01019,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01020,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01021,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01022,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01023,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
