metric,value
Total Products,1455
Total Variants,2145
Active Products,777
Draft Products,678
Archived Products,0
% Variants Missing SKU,8.72%
Variants with Blank/Zero Price,0
Archived/Draft with Inventory,537

metric,value
PROBLEM SHORTLIST (first 300),
product_handle / variant_id / sku,status | price | total_inv | target_loc_inv
badboy-t-5-4-ft-6-lamp-fixture-324-w | gid://shopify/ProductVariant/42665841229898 | hmh00533,DRAFT | 170.00 | 13 | 13
big-bang-feminised-skunk-x-northern-light-x-el-nino-auto-5-seed | gid://shopify/ProductVariant/42665841131594 | (blank),ACTIVE | 45.00 | 0 | 0
banjerine-auto-flowering-8-seed-pk | gid://shopify/ProductVariant/42665841262666 | (blank),ACTIVE | 50.00 | 0 | 0
badboy-t-5-4-ft-8-lamp-fixture-432-w | gid://shopify/ProductVariant/42665841164362 | hmh00534,DRAFT | 170.00 | 13 | 13
bio365-bioall-all-purpose-hp-blend-1-5-cu-ft | gid://shopify/ProductVariant/42665841295434 | (blank),ACTIVE | 32.99 | 0 | 0
biobud-1-gal | gid://shopify/ProductVariant/42665841426506 | hmh00246,DRAFT | 1200.00 | 1 | 1
biobud-6-gal | gid://shopify/ProductVariant/42665841492042 | hmh00675,DRAFT | 1200.00 | 1 | 1
biobud-1-qt | gid://shopify/ProductVariant/42665841557578 | hmh00245,DRAFT | 1200.00 | 1 | 1
biobud-2-5-gal | gid://shopify/ProductVariant/42665841688650 | hmh00674,DRAFT | 1200.00 | 1 | 1
biomarine-1-gal | gid://shopify/ProductVariant/42665841655882 | hmh00248,DRAFT | 45.00 | 4 | 4
bio365-bioflower-nutrient-dense-mix-1-5cu-ft-bag-blend-of-fine-coir-coarse-peat-super-coarse-perlite | gid://shopify/ProductVariant/42665841590346 | (blank),ACTIVE | 35.99 | 0 | 0
bio-365-start-1-5-cu-ft | gid://shopify/ProductVariant/42665841819722 | (blank),ACTIVE | 28.88 | 0 | 0
bio365-bioblend-high-porosity-blend-1-5cu-ft-bag-blend-of-fine-coir-coarse-peat-super-coarse-perlite | gid://shopify/ProductVariant/42665841852490 | (blank),ACTIVE | 29.99 | 0 | 0
bloom-natural-15-gal | gid://shopify/ProductVariant/42665842212938 | hmh00406,DRAFT | 91.49 | 11 | 11
botanicare-organicare-true-earth-potting-mix-o-m-r-i | gid://shopify/ProductVariant/42665842311242 | (blank),ACTIVE | 20.50 | 0 | 0
bud-candy-1-gal | gid://shopify/ProductVariant/42665842245706 | hmh01032,DRAFT | 35.50 | 7 | 7
biomarine-6-gal | gid://shopify/ProductVariant/42665842376778 | hmh00677,DRAFT | 115.89 | 8 | 8
block-cocos-nucifera-1-5-gal-8 | gid://shopify/ProductVariant/42665842475082 | (blank),ACTIVE | 4.79 | 0 | 0
bloom-khaos-gallon | gid://shopify/ProductVariant/42665842180170 | hmh01385,DRAFT | 123.17 | 4 | 4
bison-extract-liquid-compost-tea | gid://shopify/ProductVariant/42665842442314 | (blank),ACTIVE | 19.97 | 100 | 100
bud-blood-bloom-stimulator-300g | gid://shopify/ProductVariant/42665842573386 | hmh01030,DRAFT | 167.91 | 1 | 1
cal-mag-plus-qt | gid://shopify/ProductVariant/42665842606154 | hmh01179,DRAFT | 24.34 | 21 | 21
block-ir-4-x-25-roll | gid://shopify/ProductVariant/42665842704458 | hmh00920,DRAFT | 49.00 | 6 | 6
bioweed-1-gal | gid://shopify/ProductVariant/42665842802762 | hmh00252,DRAFT | 45.00 | 4 | 4
bloom-natural-1-qt | gid://shopify/ProductVariant/42665842835530 | hmh00402,DRAFT | 25.73 | 22 | 22
biothrive-grow-2-5-gal | gid://shopify/ProductVariant/42665842933834 | hmh00162,DRAFT | 151.93 | 11 | 11
biothrive-bloom-6-gal | gid://shopify/ProductVariant/42665842999370 | hmh00673,DRAFT | 260.95 | 2 | 2
biothrive-bloom-2-5-gal | gid://shopify/ProductVariant/42665843064906 | hmh00165,DRAFT | 130.48 | 6 | 6
biomarine-2-5-gal | gid://shopify/ProductVariant/42665842868298 | hmh00676,DRAFT | 402.00 | 3 | 3
blue-grease-algae-extract | gid://shopify/ProductVariant/42665842901066 | (blank),ACTIVE | 19.97 | 100 | 100
bloom-natural-1-gal | gid://shopify/ProductVariant/42665843032138 | hmh00403,DRAFT | 91.49 | 11 | 11
