SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
1924,,,,,,,,,,,,0870883009342,SKIP_MISSING_IN_SHOPIFY
1854,,,,,,,,,,,,0845268002553,SKIP_MISSING_IN_SHOPIFY
1943,,,,,,,,,,,,0845268005240,SKIP_MISSING_IN_SHOPIFY
1958,,,,,,,,,,,,0757900618124,SKIP_MISSING_IN_SHOPIFY
1962,,,,,,,,,,,,0035355002256,SKIP_MISSING_IN_SHOPIFY
1970,,,,,,,,,,,,0034613096297,SKIP_MISSING_IN_SHOPIFY
1972,gid://shopify/ProductVariant/42665862856778,mondi-super-saucer-10,DRAFT,0,,,2.29,,0.65,,10876395000591,10876395000591,NO_CHANGE
1926,,,,,,,,,,,,0832522002022,SKIP_MISSING_IN_SHOPIFY
1959,,,,,,,,,,,,0609728631185,SKIP_MISSING_IN_SHOPIFY
1971,,,,,,,,,,,,0035307018809,SKIP_MISSING_IN_SHOPIFY
1973,gid://shopify/ProductVariant/42665862922314,mondi-super-saucer-12,DRAFT,25,,,3.62,,0.9,,10876395000607,10876395000607,NO_CHANGE
1996,,,,,,,,,,,,0840470000199,SKIP_MISSING_IN_SHOPIFY
2001,,,,,,,,,,,,0845268002973,SKIP_MISSING_IN_SHOPIFY
2004,,,,,,,,,,,,0757900610104,SKIP_MISSING_IN_SHOPIFY
1927,,,,,,,,,,,,0741559010644,SKIP_MISSING_IN_SHOPIFY
1974,gid://shopify/ProductVariant/42665863053386,mondi-super-saucer-14,DRAFT,115,,,3.10,,1.43,,10876395000614,10876395000614,NO_CHANGE
1997,,,,,,,,,,,,0840470000205,SKIP_MISSING_IN_SHOPIFY
2002,,,,,,,,,,,,0845268002713,SKIP_MISSING_IN_SHOPIFY
2005,,,,,,,,,,,,0035355004250,SKIP_MISSING_IN_SHOPIFY
2006,,,,,,,,,,,,0694416533773,SKIP_MISSING_IN_SHOPIFY
1928,,,,,,,,,,,,9781878823250,SKIP_MISSING_IN_SHOPIFY
1946,gid://shopify/ProductVariant/42665849978954,float-kit-merlin-garden-pro,ACTIVE,1,,,41.06,,19.0,,0812111010065,0812111010065,NO_CHANGE
1998,,,,,,,,,,,,0840470000212,SKIP_MISSING_IN_SHOPIFY
2008,,,,,,,,,,,,0691111604512,SKIP_MISSING_IN_SHOPIFY
1929,,,,,,,,,,,,0741559050039,SKIP_MISSING_IN_SHOPIFY
1947,,,,,,,,,,,,0840470000151,SKIP_MISSING_IN_SHOPIFY
1976,gid://shopify/ProductVariant/42665850568778,f-h-d-super-saucer-8,ACTIVE,366,,,1.89,,0.45,,10876395000584,10876395000584,NO_CHANGE
1999,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
2009,,,,,,,,,,,,69111111106465,SKIP_MISSING_IN_SHOPIFY
2017,,,,,,,,,,,,9532290010090,SKIP_MISSING_IN_SHOPIFY
2022,gid://shopify/ProductVariant/42665876127818,the-root-pouch-1-gallon,DRAFT,497,,,2.20,,0.93,,0851856003628,0851856003628,NO_CHANGE
1930,,,,,,,,,,,,0845268000634,SKIP_MISSING_IN_SHOPIFY
1977,,,,,,,,,,,,0793094015257,SKIP_MISSING_IN_SHOPIFY
2023,gid://shopify/ProductVariant/42665877143626,the-root-pouch-2-gallon,DRAFT,469,,,2.57,,1.17,,0851856003635,0851856003635,NO_CHANGE
2041,,,,,,,,,,,,0891144000175,SKIP_MISSING_IN_SHOPIFY
1978,,,,,,,,,,,,0793094053341,SKIP_MISSING_IN_SHOPIFY
2024,gid://shopify/ProductVariant/42665877078090,the-root-pouch-3-gallon,DRAFT,180,,,3.20,,1.45,,0851856003642,0851856003642,NO_CHANGE
2042,,,,,,,,,,,,0845268000382,SKIP_MISSING_IN_SHOPIFY
2049,,,,,,,,,,,,0075967907686,SKIP_MISSING_IN_SHOPIFY
2050,,,,,,,,,,,,0626853111153,SKIP_MISSING_IN_SHOPIFY
2051,,,,,,,,,,,,69111141643255,SKIP_MISSING_IN_SHOPIFY
2054,,,,,,,,,,,,0793094017435,SKIP_MISSING_IN_SHOPIFY
2124,,,,,,,,,,,,0847127002315,SKIP_MISSING_IN_SHOPIFY
2125,gid://shopify/ProductVariant/42665827762250,5-8-shut-off-barbed-valve-bag-of-10,ACTIVE,21,,,4.61,,2.36,,0793094041683,0793094041683,NO_CHANGE
