SKU,Handle,Field,Woo Field,Suggested Value
hmh01232,nutradip-ec-tds-ppm-meter,Body (HTML),Product description,"Nutradip Nutrient Meters are the reliable way to measure the strength of   your gardens nutrient supply. It is a continuous monitoring meter with   automatic temperature compensation, and dc power built in for   portability. Nutradip meters are engineered for accuracy and durability,   helping growers measure and monitor their success for over 15 years.   Main Features:  <ul>    <li>Wall mount or hand held -AC &amp; DC powered </li>    <li>Light weight and splash resistant </li>    <li>Temperature compensated Food Grade Probe </li>    <li>Replaceable 9 volt battery included </li>    <li>Light weight, splash resistant and portable </li>    <li>Easy to read plant friendly display </li>    <li>Nutradip Calibration Solution included </li>  </ul>"
hmh00102,mykos-30-mycorrhizal-inoculant-2-2-lb,Body (HTML),Product description,"MYKOS 30, ORGANIC & NATURAL is a premium blend of mycorrhiza and organic plant food 6-4-4 a combination which is ideal for growing organic vegetables and flowers. This method of providing nutrients to plants not only produces a healthier garden, but it exponentially increases the population of many of the beneficial microbes that associate with mycorrhizal fungi, which healthy soils must contain."
hmh00613,mondi-mist-spray-delux-compression-sprayer-1-2-qt,Body (HTML),Product description,"The original was awesome, and now the improved Mondi Deluxe Mist N' Spray is even better! Constructed from heavy-duty plastic and ergonomically designed for safe and comfortable extended use, this premium version features an all-metal pump and nozzle for improved durability and a longer life. This 1.2-liter model has an extra-long nozzle and extension, and its convenient swivel nozzle effortlessly switches from spray to mist.    <ul>  <li>Protected by 2-year manufacturer's warranty.  <li>Constructed from heavy-duty plastic for long life  <li>Ergonomically designed handle  <li>Adjustable brass nozzle  <li>Long nozzle extension for precise control  <li>Holding tank holds 1.2 L of liquid  </ul>"
hmh01198,mondi-propagation-tray-insert-55,Body (HTML),Product description,The pellet pocket tray makes pellet expansion convenient and clean with even spacing and air flow for hassle free propagation. 55 propagation pellets fit snugly while maintaining excellent drainage through the large size holes. It has thick plastic and UV protection for durability and long life.
hmh01197,mondi-propagation-tray,Body (HTML),Product description,"The deep, continuous channels and 'level fit' wide ridges prevent water pooling and provide better stability for propagation media. It has super-reinforced sides and lip, thick plastic and UV protection for durability and long life. The professionally engineered tray-ends add extra strength, making them easier to move carry and separate!"
hmh00612,mondi-mist-spray-premium-compression-sprayer-1-5-qt,Body (HTML),Product description,"This hand sprayer is designed for comfort, efficiency, safety and ease of use, yet is inexpensive enough to always keep in stock! A superior quality, 1.5 quart capacity tank sprayer designed for use in the garden or home Constructed from high grade plastic. It is equipped with a swivel nozzle that adjusts from a jet stream to a fine mist spray.  <ul>  <li>Superior quality, small capacity tank sprayer for the garden or home.  <li>Designed to provide maximum comfort, effi ciency, safety, and ease of use.    <li>Swivel nozzle that adjusts from a jet stream to a fi ne mist spray.  <li>Includes bonus 6"" extension nozzle for harder to reach areas.  <li>Pressure relief valve releases pressure prior to opening.  </ul>"
hmh01196,mondi-mini-greenhouse-humidity-dome-7-with-vents,Body (HTML),Product description,"Mondi Mini Greenhouse Humidity Dome 4"" with vents"
hmh00038,general-organics-starter-box,Body (HTML),Product description,<p> </p><ul><li> </li></ul>
hmh00006,gardening-indoors-with-cuttings,Body (HTML),Product description,"By George F. Van Patten and Alyssa F. Bust<br>  (5.5x8.5"", 96 pages, illustrated, index)  <br><br>  Cuttings are the fastest , most efficient way of reproducing a plant. By following a few easy steps you can enjoy many generations of a favorite plant. Included in the book is everything you'll need to know. How to control the environment for the cuttings, how to avoid diseases, choosing the right hormones and solutions, and even how to build a misting chamber. You can achieve 100% success rates, don't settle for less. Propagating plants can be very very inexpensive, only pennies per cutting. You will need to know the basics though. This book is for everyone, and is written in an easy to read way anyone can understand. Written to save you time and money."
hmh01010,grandma-enggys-h-2-1-lt,Body (HTML),Product description,"<p>Rich, Intense Nutrition Powerhouse for Your Plants<p>  Grandma’s Humic Acid is the concentrated organic extract of a rare vein of rich material called ""leonardite."" Filled with nutritional benefits for your plants, H-2 is the strongest, most effective humic you can get. When you use it during every phase of crop growth, H-2 creates optimum yielding potential for your plants."
