product_id,product_handle,product_title,product_status,product_vendor,product_type,variant_id,variant_title,sku,barcode,price,compare_at_price,cost_amount,cost_currency,inv_total_all_locations,inv_at_target_location,inv_detail_json
gid://shopify/Product/8043091230794,12-can-filter-flange,"12"" CAN Filter Flange",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665814753354,Default Title,hmh00727,0840470001059,20.63,,12.66,USD,2,2,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":2}]"
gid://shopify/Product/8043091263562,12-max-fan-1709-cfm,"12"" Max-Fan, 1709 CFM",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665814720586,Default Title,hmh00808,0840470009977,562.58,526.64,259.0,USD,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043091296330,14-can-filter-flange-max,"14"" Can Filter Flange Max",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665814786122,Default Title,hmh00728,,1110.00,,649.0,USD,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043091329098,120v-120v-4-light-switcher,120V - 120V 4 Light Switcher,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665814818890,Default Title,hmh01120,0741559020223,233.45,,200.0,USD,1,1,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":1}]"
gid://shopify/Product/8043091361866,1500-ppm-calibration-solution-8-oz,1500 ppm Calibration Solution 8 oz.,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665814851658,Default Title,hmh00993,0793094015714,8.02,,4.1,USD,3,3,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":3}]"
gid://shopify/Product/8043091394634,14-max-fan-1823-cfm,"14"" Max-Fan, 1823 CFM",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665814917194,Default Title,hmh00809,0840470002247,738.52,764.41,453.22,USD,3,3,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":3}]"
gid://shopify/Product/8043091427402,14-can-duct-premium-3-ply-ducting-w-clamps,"14"" Can-Duct Premium 3-ply Ducting w/ clamps",ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665814884426,Default Title,hmh01329,0840470005057,54.31,,25.0,USD,2,2,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":2}]"
gid://shopify/Product/8043091460170,16-can-filter-flange-max,"16"" Can Filter Flange Max",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665814949962,Default Title,hmh00729,0840470002254,1216.38,,851.4,USD,1,1,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":1}]"
gid://shopify/Product/8043091492938,12-flange,"12"" Flange",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665815179338,Default Title,hmh00743,0840470001059,20.63,,12.66,USD,2,2,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":2}]"
gid://shopify/Product/8043091525706,12-in-hose-clamps,12 in. hose clamps,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665815212106,Default Title,hmh01327,0870883005979,5.87,,3.0,USD,39,39,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":39}]"
gid://shopify/Product/8043091591242,16-max-fan-2436-cfm,"16"" Max-Fan, 2436 CFM",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665815277642,Default Title,hmh00810,0840470002254,1216.38,1466.59,851.4,USD,1,1,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":1}]"
gid://shopify/Product/8043091624010,16-can-duct-3-ply-premium-ducting-w-clamps,"16"" Can-Duct 3-ply Premium Ducting w/ clamps",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665815244874,Default Title,hmh01330,0840470005071,86.90,,40.0,USD,1,1,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":1}]"
gid://shopify/Product/8043091689546,18-can-filter-flange-max,"18"" Can Filter Flange Max",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665815310410,Default Title,hmh00730,0840470002261,1531.34,,705.0,USD,1,1,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":1}]"
gid://shopify/Product/8043092017226,24-hour-clock-timers,24 Hour Clock Timers,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817276490,Default Title,hmh00933,11111111555555555,10.95,230.00,5.95,USD,2,2,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":2}]"
gid://shopify/Product/8043092049994,18-can-duct-3-ply-premium-ducting-w-clamps,"18"" Can-Duct 3-ply Premium Ducting w/ Clamps",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817309258,Default Title,hmh01331,0840470005088,108.64,,50.0,USD,1,1,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":1}]"
gid://shopify/Product/8043092082762,1mm-thick-50-mylar-roll,1mm Thick 50' Mylar Roll,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817342026,Default Title,hmh00924,,30.95,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043092115530,1mm-thick-25-mylar-roll,1mm Thick 25' Mylar Roll,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817407562,Default Title,hmh00923,,20.95,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043092148298,2-sunblaster-t5-combo-6400k-2232-lumens,2' Sunblaster T5 Combo 6400k (2232 Lumens),ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817505866,Default Title,hmh01481,0692236000642,42.99,,24.48,USD,6,6,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":6}]"
