sku,handle,title,brand,vendor,product_type,diameter,length,flow_rate,source,shopify,woo,inventory,needs_images,needs_description,work_queue
904,6w-2-outlet-air-pump,6w 2 Outlet Air Pump,EcoPlus,EcoPlus,pump_air,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
905,12w-4-outlet-air-pump,12w 4 Outlet Air Pump,EcoPlus,EcoPlus,pump_air,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
825,c-a-p-version-1-2-tub-outlet-fitting-shorter-thread-,"C.A.P. Version 1/2"" Tub Outlet Fitting (Shorter Thread)",R&M,R&M,fitting,"1/2""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
906,eco-air-8-380-4-gph,Eco Air-8/380.4 gph,EcoPlus,EcoPlus,other,,,4 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
907,4-air-stone,"4"" Air Stone",EcoPlus,EcoPlus,air_stone,"4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
827,3-4-tub-outlet-fitting-in-let,"3/4"" Tub Outlet Fitting-in let",EcoPlus,EcoPlus,fitting,"3/4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
829,basket-dripper-stake,Basket Dripper Stake,EcoPlus,EcoPlus,emitter,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
910,small-round-air-stone,Small round Air Stone,EcoPlus,EcoPlus,air_stone,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
912,large-round-air-stone,Large Round Air Stone,EcoPlus,EcoPlus,air_stone,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
832,120-951-gph-water-pump,120-951 GPH Water Pump,General Hydroponics,General Hydroponics,pump_water,,,951 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
344,spider-mite-spray-nozzle,Spider Mite Spray Nozzle,Ultrasol,Ultrasol,emitter,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
349,100cc-syringe,100cc Syringe,EcoPlus,EcoPlus,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
835,1250-gph-1-4-hp-centrifugal-inline-water-pump,1250 GPH 1/4 HP Centrifugal Inline Water Pump,General Hydroponics,General Hydroponics,pump_water,,,1250 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
916,633-gph-submersible-pump,633 GPH Submersible Pump,EcoPlus,EcoPlus,pump_submersible,,,633 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
782,1-4-elbow-connector,"1/4"" Elbow Connector",,,fitting,"1/4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
836,replacement-filter-for-tnc-pump,Replacement Filter for TNC Pump,General Hydroponics,General Hydroponics,pump_water,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
917,1056-gph-submersible-pump,1056 GPH Submersible Pump,EcoPlus,EcoPlus,pump_submersible,,,1056 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
783,1-4-tee-connector,"1/4"" Tee Connector",,,fitting,"1/4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
837,2-7-pump-pre-filter,2-7 Pump Pre-Filter,Pondmaster,Pondmaster,pump_water,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
784,1-2-elbow-connector,"1/2"" Elbow Connector",,,fitting,"1/2""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
838,air-pump-4-1-4-air-line-connections,"Air Pump (4) 1/4"" Air Line Connections",General Hydroponics,General Hydroponics,pump_air,"1/4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
785,1-2-tee-connector,"1/2"" Tee Connector",,,fitting,"1/2""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
839,250-gph-magnetic-driven-pump,250 GPH Magnetic Driven Pump,,,pump_water,,,250 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
920,6-5-x9-submersible-pump-filter-bag,"6.5""x9"" Submersible Pump Filter Bag",EcoPlus,EcoPlus,pump_submersible,"5""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
