key,sku,handle,title,primary_category,categories,brand,brand_invalid_reason
"handle:thermostatically-controlled-centrifugal-fans","","thermostatically-controlled-centrifugal-fans","Thermostatically Controlled Centrifugal Fans","controllers_timers","controllers_timers","Unknown",""
"handle:digital-timers","","digital-timers","Digital Timers","controllers_timers","controllers_timers","Unknown",""
"handle:uno-8-big-boy-a-c-reflector","hmh01268","uno-8-big-boy-a-c-reflector","UNO 8"" Big Boy A/C Reflector","electrical_supplies","electrical_supplies","UNO",""
"handle:sunsoaker-parabolic-reflector-w-horizonal-socket-bracket","hmh00513","sunsoaker-parabolic-reflector-w-horizonal-socket-bracket","SunSoaker Parabolic Reflector w/ Horizonal Socket bracket","electrical_supplies","electrical_supplies","H Moon Hydro",""
"handle:panda-double-ended-reflector-medium","hmh01553","panda-double-ended-reflector-medium","Panda-Double Ended Reflector- Medium","electrical_supplies","electrical_supplies","Panda",""
"handle:light-rail-5-motor-crossbar-8-rail","hmh00894","light-rail-5-motor-crossbar-8-rail","Light Rail 5 Motor, Crossbar, 8' rail","electrical_supplies","electrical_supplies","Light Rail",""
"handle:light-rail-5-4ft-auxilary-rail","hmh00896","light-rail-5-4ft-auxilary-rail","Light Rail 5 4ft auxilary rail","electrical_supplies","electrical_supplies","Light Rail",""
"handle:light-rail-5-crossbar-mounting-kit","hmh00895","light-rail-5-crossbar-mounting-kit","Light Rail 5 Crossbar Mounting Kit","electrical_supplies","electrical_supplies","Light Rail",""
"handle:basic-600w-hps-ballast","hmh01247","basic-600w-hps-ballast","Basic 600w HPS Ballast","electrical_supplies","electrical_supplies","H Moon Hydro",""
"handle:8-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long","hmh00518","8-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long","8 in. Cool Tube with reflector socket w/ 15 ft cord - 24"" long","electrical_supplies","electrical_supplies","Cool Tube",""
"handle:6-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long","hmh00519","6-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long","6 in. Cool Tube with reflector socket w/ 15 ft cord - 24"" long","electrical_supplies","electrical_supplies","Cool Tube",""
"handle:240v-20ft-power-cords","hmh01782","240v-20ft-power-cords","240V 20ft. Power Cords","electrical_supplies","electrical_supplies","H Moon Hydro",""
"handle:240-volt-power-cord-8-ft","hmh00512","240-volt-power-cord-8-ft","240 Volt Power cord 8 ft .","electrical_supplies","electrical_supplies","H Moon Hydro",""
"handle:10ft-lamp-extention-power-cord","hmh01783","10ft-lamp-extention-power-cord","10ft. lamp Extention Power cord","electrical_supplies","electrical_supplies","H Moon Hydro",""
"handle:ac-infinity-controller-ai-environmental-controller","","ac-infinity-controller-ai-environmental-controller","AC Infinity/CONTROLLER AI+ Environmental Controller","environmental_monitors","environmental_monitors","AC Infinity",""
"handle:all-mesh-extraction-bags-3-bag-kit","hmh01259","all-mesh-extraction-bags-3-bag-kit","All Mesh Extraction Bags - 3 Bag Kit","extraction","extraction","H Moon Hydro",""
"handle:aphrodites-extraction-gallon","hmh01373","aphrodites-extraction-gallon","Aphrodite's Extraction Gallon","extraction","extraction","Nectar",""
"handle:aphrodites-extraction-quart","hmh01372","aphrodites-extraction-quart","Aphrodite's Extraction Quart","extraction","extraction","Nectar",""
"title:eyehortiluxestartmetalhalide1000watt","","","Eye Hortilux e-Start Metal Halide  1000Watt","grow_lights","grow_lights","Hortilux",""
"title:eyehortiluxestartmetalhalidelamps","","","Eye Hortilux e-Start Metal Halide Lamps","grow_lights","grow_lights","Hortilux",""
"title:eyehortiluxlu1000dehtldoubleended","","","Eye Hortilux® LU 1000 DE/HTL Double-Ended","grow_lights","grow_lights","Hortilux",""
"title:plantmax1000wmhconversion110000lumens","","","Plantmax 1000W. MH Conversion 110,000 lumens","grow_lights","grow_lights","Plantmax",""
"title:plantmax1000wmhhighoutput120000lumens","","","Plantmax 1000W. MH High Output 120,000 lumens","grow_lights","grow_lights","Plantmax",""
"title:plantmax150whpshighoutput16000lumens","","","Plantmax 150W. HPS High Output 16,000 lumens","grow_lights","grow_lights","Plantmax",""
"title:plantmax220whpsconversion25000lumens","","","Plantmax 220W. HPS Conversion 25,000 lumens","grow_lights","grow_lights","Plantmax",""
"title:plantmax250wmhconversion","","","Plantmax 250W. MH Conversion","grow_lights","grow_lights","Plantmax",""
"title:plantmax360whpsconversion45000lumens","","","Plantmax 360W. HPS Conversion 45,000 lumens","grow_lights","grow_lights","Plantmax",""
"title:plantmax400wmhconversion36000lumens","","","Plantmax 400W. MH Conversion 36,000 lumens","grow_lights","grow_lights","Plantmax",""
"title:plantmax600whpshighoutput90000lumens","","","Plantmax 600W. HPS High Output 90,000 lumens","grow_lights","grow_lights","Plantmax",""
"title:plantmax600wmhconversion57000lumens","","","Plantmax 600W. MH Conversion 57,000 lumens","grow_lights","grow_lights","Plantmax",""
"title:solarmax1000whpsw147000lumens","","","SolarMax 1000W. HPS w/ 147,000 Lumens","grow_lights","grow_lights","Solarmax",""
"title:solarmax400whpsw55000lumens","","","SolarMax 400W. HPS W/ 55,000 Lumens","grow_lights","grow_lights","Solarmax",""
