Handle,Title,Option1 Name,Option1 Value,SKU,Barcode,Price,CompareAtPrice,Cost,Status,Vendor,ProductType,InventoryQuantity
12-x-18-x-3-storage-bag-ziploc,"12"" x 18"" x 3"" Storage Bag (ziploc)",,,hmh01334,840470001813.0,2.06,,0.94,ACTIVE,H Moon Hydro,simple,57
12-can-filter-flange,"12"" CAN Filter Flange",,,hmh00727,840470001059.0,20.63,,12.66,DRAFT,H Moon Hydro,simple,2
12-max-fan-1709-cfm,"12"" Max-Fan, 1709 CFM",,,hmh00808,840470009977.0,562.58,526.64,259.0,DRAFT,H Moon Hydro,simple,0
14-can-filter-flange-max,"14"" Can Filter Flange Max",,,hmh00728,,1110.0,,649.0,DRAFT,H Moon Hydro,simple,0
120v-120v-4-light-switcher,120V - 120V 4 Light Switcher,,,hmh01120,741559020223.0,233.45,,200.0,ACTIVE,H Moon Hydro,simple,1
1500-ppm-calibration-solution-8-oz,1500 ppm Calibration Solution 8 oz.,,,hmh00993,793094015714.0,8.02,,4.1,ACTIVE,H Moon Hydro,simple,3
14-max-fan-1823-cfm,"14"" Max-Fan, 1823 CFM",,,hmh00809,840470002247.0,738.52,764.41,453.22,DRAFT,H Moon Hydro,simple,3
14-can-duct-premium-3-ply-ducting-w-clamps,"14"" Can-Duct Premium 3-ply Ducting w/ clamps",,,hmh01329,840470005057.0,54.31,,25.0,ACTIVE,H Moon Hydro,simple,2
16-can-filter-flange-max,"16"" Can Filter Flange Max",,,hmh00729,840470002254.0,1216.38,,851.4,DRAFT,H Moon Hydro,simple,1
12-flange,"12"" Flange",,,hmh00743,840470001059.0,20.63,,12.66,DRAFT,H Moon Hydro,simple,2
12-in-hose-clamps,12 in. hose clamps,,,hmh01327,870883005979.0,5.87,,3.0,DRAFT,H Moon Hydro,simple,39
16-max-fan-2436-cfm,"16"" Max-Fan, 2436 CFM",,,hmh00810,840470002254.0,1216.38,1466.59,851.4,DRAFT,H Moon Hydro,simple,1
16-can-duct-3-ply-premium-ducting-w-clamps,"16"" Can-Duct 3-ply Premium Ducting w/ clamps",,,hmh01330,840470005071.0,86.9,,40.0,DRAFT,H Moon Hydro,simple,1
18-can-filter-flange-max,"18"" Can Filter Flange Max",,,hmh00730,840470002261.0,1531.34,,705.0,DRAFT,H Moon Hydro,simple,1
24-hour-clock-timers,24 Hour Clock Timers,,,hmh00933,1.1111111555555556e+16,10.95,230.0,5.95,ACTIVE,H Moon Hydro,simple,2
18-can-duct-3-ply-premium-ducting-w-clamps,"18"" Can-Duct 3-ply Premium Ducting w/ Clamps",,,hmh01331,840470005088.0,108.64,,50.0,DRAFT,H Moon Hydro,simple,1
1mm-thick-50-mylar-roll,1mm Thick 50' Mylar Roll,,,hmh00924,,30.95,,,DRAFT,H Moon Hydro,simple,0
1mm-thick-25-mylar-roll,1mm Thick 25' Mylar Roll,,,hmh00923,,20.95,,,DRAFT,H Moon Hydro,simple,0
2-sunblaster-t5-combo-6400k-2232-lumens,2' Sunblaster T5 Combo 6400k (2232 Lumens),,,hmh01481,692236000642.0,42.99,,24.48,ACTIVE,H Moon Hydro,simple,6
22-5-x-18-storage-bag,"22.5"" x 18"" Storage Bag",,,hmh01333,840470001813.0,2.06,,0.94,ACTIVE,H Moon Hydro,simple,57
2-in-site-plug-case-of-20,2 in. Site Plug (case of 20),,,hmh00844,,10.6,,,DRAFT,H Moon Hydro,simple,0
2-nanotech-reflector-for-sunblaster-t5,2' Nanotech Reflector for Sunblaster T5,,,hmh01478,692236090810.0,7.99,,8.95,ACTIVE,H Moon Hydro,simple,4
2-heavy-duty-neoprene-collars-case-of-200,"2"" heavy duty neoprene collars (case of 200)",,,hmh00567,,90.0,,,ACTIVE,H Moon Hydro,simple,0
20-can-filter-flange-max,"20"" Can Filter Flange Max",,,hmh00731,,45.0,,,DRAFT,H Moon Hydro,simple,0
18-max-fan-3490-cfm,"18"" Max-Fan, 3490 CFM",,,hmh01325,840470002261.0,1531.34,1566.59,705.0,DRAFT,H Moon Hydro,simple,1
1mm-thick-100-mylar-roll,1mm Thick 100' Mylar Roll,,,hmh00925,870883005146.0,87.93,,52.0,DRAFT,H Moon Hydro,simple,0
24-hour-timer-w-cooling-thermostat,24 Hour Timer w/cooling thermostat,,,hmh00932,1.1111111555555556e+16,10.95,,5.95,ACTIVE,H Moon Hydro,simple,2
240-volt-power-cord-8-ft,240 Volt Power cord 8 ft .,,,hmh00512,849969032741.0,19.95,,12.95,ACTIVE,H Moon Hydro,simple,14
240v-120v-4-light-switcher,240V - 120v 4 Light Switcher,,,hmh01121,741559020285.0,253.58,,240.0,ACTIVE,H Moon Hydro,simple,1
25-ft-black-white-panda-film-poly,25 ft.Black & White Panda Film (poly),,,hmh01542,291000062.0,27.32,,15.0,DRAFT,H Moon Hydro,simple,0
2mm-thick-25-mylar-roll,2mm Thick 25' Mylar Roll,,,hmh01297,,30.95,,,DRAFT,H Moon Hydro,simple,0
25-ft-diamond-silver-white-film,25 ft. Diamond Silver White Film,,,hmh01539,696859061806.0,45.89,46.95,27.0,DRAFT,H Moon Hydro,simple,12
3-pack-1-5-v-batteries-for-hm-digital-meters,3-pack 1.5 V batteries for HM Digital Meters,,,hmh00997,,8.95,,,ACTIVE,H Moon Hydro,simple,0
240v-20ft-power-cords,240V 20ft. Power Cords,,,hmh01782,,35.0,,,ACTIVE,H Moon Hydro,simple,12
240v-240v-4-light-switcher,240V - 240V 4 Light Switcher,,,hmh01122,741559020285.0,253.58,,240.0,ACTIVE,H Moon Hydro,simple,1
3-75-mesh-basket,3.75 Mesh Basket,,,hmh00834,870883008277.0,0.72,,0.24,DRAFT,H Moon Hydro,simple,64
240v-lec-emitting-ceramic-fixture-630-light,240V.LEC®Emitting Ceramic® Fixture 630 Light,,,hmh01595,,250.0,534.0,,ACTIVE,H Moon Hydro,simple,0
3-ft-extender-rail-a-3-foot-section-of-rail-to-extend-a-6-ft-section-into-a-9-ft,3 ft extender rail- A 3 foot section of rail to extend a 6 ft section into a 9 ft,,,hmh00902,,31.95,,,ACTIVE,H Moon Hydro,simple,0
2mm-thick-50-mylar-roll,2mm Thick 50' Mylar Roll,,,hmh00926,,48.95,,,DRAFT,H Moon Hydro,simple,0
3-in-net-pot-case-of-100,3 in. Net-Pot (case of 100),,,hmh00842,793094066020.0,0.59,,0.27,DRAFT,H Moon Hydro,simple,47
2mm-thick-100-mylar-roll,2mm Thick 100' Mylar Roll,,,hmh00927,870883005146.0,87.93,,52.0,DRAFT,H Moon Hydro,simple,0
3-8-in-tubing-white-500-ft-roll,3/8 in. TUBING WHITE (500 FT. ROLL),,,hmh00943,121110116211.0,16.95,,,ACTIVE,H Moon Hydro,simple,8
3-8-in-tubing-blue-500-ft-roll,3/8 in. TUBING BLUE (500 FT. ROLL),,,hmh00944,121110116211.0,16.95,,,DRAFT,H Moon Hydro,simple,8
315-chm-3k-greenpower-luminaires,315 CHM 3K GREENPOWER LUMINAIRES,,,hmh01717,,89.0,,,ACTIVE,H Moon Hydro,simple,0
4-in-hose-clamps,4 in. hose clamps,,,hmh00803,847127001646.0,10.06,,5.13,DRAFT,H Moon Hydro,simple,2
4-ft-laser-drilled-sprayline,4 ft laser Drilled Sprayline,,,hmh00491,793094980043.0,9.5,10.72,5.83,ACTIVE,H Moon Hydro,simple,7
4-in-air-cooled-fittings-2-pk,4 in. Air Cooled Fittings (2/pk),,,hmh00522,691111164972.0,17.55,,9.5,ACTIVE,H Moon Hydro,simple,0
315-chm-4k-greenpower-luminaires,315 CHM 4K GREENPOWER LUMINAIRES,,,hmh01708,850016034212.0,99.99,,36.0,ACTIVE,H Moon Hydro,simple,10
4-in-x-25-ft-flexible-duct-w-2-clamps-included,4 in. x 25 ft flexible duct w/ 2 clamps included,,,hmh00798,1.111111111111111e+17,66.64,,40.0,DRAFT,H Moon Hydro,simple,0
4-light-timer-120-v,4 Light Timer (120 V.),,,hmh00934,741559020230.0,233.45,,200.0,DRAFT,H Moon Hydro,simple,1
4-in-site-plug-case-of-10,4 in. Site Plug (case of 10),,,hmh00846,793094066228.0,2.1,,1.06,DRAFT,H Moon Hydro,simple,71
4-76-gallon-bucket-no-handle,4.76 Gallon Bucket - No Handle,,,hmh00833,84305355577.0,11.99,,4.95,ACTIVE,H Moon Hydro,simple,81
38-special-50-15-od-26-high-6-flange-size-420-cfm,"38 Special 50, 15"" OD, 26"" High, 6"" flange size, 420 CFM",,,hmh00690,840470000700.0,112.95,294.0,69.32,DRAFT,H Moon Hydro,simple,4
38-special-100-15-od-39-4-high-8-flange-size-840-cfm,"38 Special 100, 15"" OD, 39.4"" High, 8"" flange size, 840 CFM",,,hmh00692,840470000700.0,112.95,486.0,69.32,DRAFT,H Moon Hydro,simple,4
4-light-timer-240-v,4 Light timer (240 V.),,,hmh00935,74155902031.0,253.58,,240.0,DRAFT,H Moon Hydro,simple,0
38-special-75-15-od-29-5-high-8-flange-size-600-cfm,"38 Special 75, 15"" OD, 29.5"" High, 8"" flange size, 600 CFM",,,hmh00691,840470000700.0,112.95,,69.32,DRAFT,H Moon Hydro,simple,4
5-gallon-3-bag-kit,5 gallon /3 Bag Kit,,,hmh01531,,87.0,,,ACTIVE,H Moon Hydro,simple,1
5-gal-4-bag-kit-w-12-x-10-pressing-screen,"5 Gal, 4 bag Kit w/12"" x 10"" pressing screen",,,hmh00820,,87.0,,,ACTIVE,H Moon Hydro,simple,1
4-nanotech-reflector-for-sunblaster-t5,4' Nanotech Reflector for Sunblaster T5,,,hmh01480,692236090834.0,14.99,,12.25,ACTIVE,H Moon Hydro,simple,24
4-t5-fixture-54w-5022-lumens,4' T5 Fixture 54W (5022 Lumens),,,hmh00529,718122806508.0,46.95,,18.8,ACTIVE,H Moon Hydro,simple,8
430-sodium-son-agro-54000-lumens,430 Sodium Son-Agro 54000 lumens,,,hmh00854,,89.95,,,ACTIVE,H Moon Hydro,simple,0
4-laser-sprayline,4' Laser Sprayline,,,hmh00825,793094980043.0,9.5,,5.83,ACTIVE,H Moon Hydro,simple,7
5-gallon-electric-washing-machine-w-220-micro-bag,5 Gallon Electric Washing Machine w/220 micro bag,,,hmh01528,626853107170.0,199.0,230.0,141.0,ACTIVE,H Moon Hydro,simple,4
5-mesh-basket,"5"" Mesh Basket",,,hmh00835,870883008284.0,1.01,,0.5,DRAFT,H Moon Hydro,simple,16
40-micron-filter-for-tnc-pump,40 micron filter for TNC pump,,,hmh00914,691110848755.0,13.19,,6.9,ACTIVE,H Moon Hydro,simple,5
5-gal-9-bag-kit-w-12-x-10-pressing-screen,"5 Gal, 9 bag Kit w/12"" x 10"" pressing screen",,,hmh00821,626853108566.0,150.0,,85.0,ACTIVE,H Moon Hydro,simple,12
50-ft-black-white-panda-film-poly,50 ft. Black & White Panda Film (poly),,,hmh01543,12111011622.0,11.95,,,DRAFT,H Moon Hydro,simple,5
5-net-pot,"5"" Net Pot",,,hmh01323,870883008284.0,1.01,,0.5,DRAFT,H Moon Hydro,simple,16
5-8-shut-off-barbed-valve-bag-of-10,"5/8"" shut-off barbed valve (bag of 10)",,,hmh00830,793094041683.0,4.61,,2.36,ACTIVE,H Moon Hydro,simple,21
6-ft-rail-only,6 ft Rail only,,,hmh00901,816731011273.0,14.99,,6.99,ACTIVE,H Moon Hydro,simple,7
6-can-filter-flange,"6"" CAN Filter Flange",,,hmh00724,840470001028.0,14.12,,8.66,DRAFT,H Moon Hydro,simple,8
6-in-bucket-basket,6 in. Bucket Basket,,,hmh00831,,4.29,,1.0,DRAFT,H Moon Hydro,simple,24
6-in-hose-clamps,6 in. hose clamps,,,hmh00804,847127001653.0,10.7,,5.59,DRAFT,H Moon Hydro,simple,0
8-in-hose-clamps,8 in. hose clamps,,,hmh00805,847127001660.0,11.68,,6.43,DRAFT,H Moon Hydro,simple,0
6-in-backdraft-damper,6 in. Backdraft Damper,,,hmh00783,840470004029.0,19.55,,12.0,DRAFT,H Moon Hydro,simple,8
6-in-site-plug-case-of-10,6 in. Site Plug (case of 10),,,hmh00847,793094066235.0,3.12,,1.6,DRAFT,H Moon Hydro,simple,214
6-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long,"6 in. Cool Tube with reflector socket w/ 15 ft cord - 24"" long",,,hmh00519,6911117777465.0,136.8,139.95,56.96,DRAFT,H Moon Hydro,simple,8
8-in-backdraft-damper,8 in. Backdraft Damper,,,hmh00784,628507200046.0,36.12,,22.0,DRAFT,H Moon Hydro,simple,7
6-in-x-25-ft-flexible-duct-w-2-clamps-included,6 in. x 25 ft flexible duct W/ 2 clamps included,,,hmh00799,1.111111111111111e+17,66.64,,40.0,DRAFT,H Moon Hydro,simple,0
8-in-cool-tube-with-reflector-socket-w-15-ft-cord-24-long,"8 in. Cool Tube with reflector socket w/ 15 ft cord - 24"" long",,,hmh00518,691111147403.0,156.35,149.95,80.71,DRAFT,H Moon Hydro,simple,13
6-flange,"6"" Flange",,,hmh00740,840470001028.0,14.12,,8.66,DRAFT,H Moon Hydro,simple,8
50-ft-diamond-silver-white-film,50 ft. Diamond Silver White Film,,,hmh01540,696859061455.0,158.36,162.0,95.0,DRAFT,H Moon Hydro,simple,4
6-in-net-pot-case-of-50,6 in. Net-Pot (case of 50),,,hmh00843,817593020731.0,5.28,,2.34,DRAFT,H Moon Hydro,simple,198
8-pack-of-badboy-ho-t-5-4-ft-triphosphor-bloom-2,8 Pack of BadBoy HO T-5 4 ft Triphosphor Bloom,,,hmh01731,653703304144.0,9.25,,5.0,ACTIVE,H Moon Hydro,simple,12
8-max-fan-675-cfm,"8"" Max-Fan, 675 CFM",,,hmh00806,840470002210.0,239.54,286.65,147.0,DRAFT,H Moon Hydro,simple,4
8oz-electrode-storage-solution,8oz electrode storage solution,,,hmh00967,793094015516.0,7.37,,3.77,ACTIVE,H Moon Hydro,simple,14
6-mesh-basket,"6"" Mesh Basket",,,hmh00836,,4.29,,1.0,DRAFT,H Moon Hydro,simple,24
ac-infinity-controller-ai-environmental-controller,AC Infinity/CONTROLLER AI+ Environmental Controller,,,,,120.0,,,ACTIVE,H Moon Hydro,simple,0
8-oz-twin-pack-electrode-cleaning-solution-a-b,8 oz twin pack electrode cleaning solution #A & #B,,,hmh00966,793094015516.0,7.37,,3.77,ACTIVE,H Moon Hydro,simple,14
8-in-x-25-ft-flexible-duct-w-2-clamps-included,8 in. x 25 ft flexible duct w / 2 clamps included,,,hmh00800,1.111111111111111e+17,66.64,,40.0,DRAFT,H Moon Hydro,simple,0
bcuzz-hydro-b-5l,B'Cuzz Hydro B 5L,,,hmh00266,1.211324463574858e+17,89.95,,50.0,DRAFT,H Moon Hydro,simple,0
accurate-ph-4-w-remote-probe-2,Accurate pH 4 w/remote probe,,,hmh01597,987987987987987.0,34.95,,,DRAFT,H Moon Hydro,simple,0
autumn-2-5-gallon,Autumn 2.5 Gallon,,,hmh01473,860007760853.0,425.0,,425.0,DRAFT,H Moon Hydro,simple,0
autumn-quart,Autumn Quart,,,hmh01471,892753002628.0,58.45,,35.0,DRAFT,H Moon Hydro,simple,0
aphrodites-extraction-quart,Aphrodite's Extraction Quart,,,hmh01372,812863010382.0,22.58,,11.0,DRAFT,H Moon Hydro,simple,8
aphrodites-extraction-gallon,Aphrodite's Extraction Gallon,,,hmh01373,812863010399.0,61.58,,30.0,DRAFT,H Moon Hydro,simple,3
bcuzz-bio-nrg-flavor-c-1l,B'Cuzz BIO-NRG Flavor-C 1L,,,hmh00259,666884701732.0,16.32,,8.35,DRAFT,H Moon Hydro,simple,0
ac-wsa20-b-automatic-water-sprayer-2-liter,"AC-WSA20-B Automatic Water Sprayer, 2-Liter",,,,,29.99,,,ACTIVE,H Moon Hydro,simple,0
b-52-vitamin-1-lt,B-52 Vitamin (1 lt),,,hmh01021,845268000016.0,49.98,,28.44,ACTIVE,H Moon Hydro,simple,30
bcuzz-bio-nrg-flavor-c-5l,B'Cuzz BIO-NRG Flavor-C 5L,,,hmh00260,666884701732.0,16.32,,8.35,DRAFT,H Moon Hydro,simple,0
athena-cleanse,Athena Cleanse,,,,,70.0,,,ACTIVE,H Moon Hydro,simple,0
bcuzz-bio-nrg-growth-c-1l,B'Cuzz BIO-NRG Growth-C 1L,,,hmh00261,131313476879809.0,16.32,,8.8,DRAFT,H Moon Hydro,simple,6
athena-pro-core-10-lb,Athena Pro Core 10 lb.,,,,,79.0,110.0,,ACTIVE,H Moon Hydro,simple,0
athena-cuts-rooting-gel-compound-14oz,Athena Cuts Rooting Gel Compound - 14oz,,,,,72.0,75.99,,ACTIVE,H Moon Hydro,simple,0
athena-ipm-32-oz,Athena IPM 32 oz.,,,,,65.0,75.0,,ACTIVE,H Moon Hydro,simple,0
air-tight-6-a-c-w-15-socket-set,Air Tight 6 A/C - w/15' Socket Set,,,hmh01201,691111464623.0,155.42,154.0,104.99,ACTIVE,H Moon Hydro,simple,2
athena-camg-2,Athena CaMg,,,,,45.0,,,ACTIVE,H Moon Hydro,simple,0
alienz-auto-feminised-alienz-x-watermelon-auto-5-seed,AlienZ Auto (Feminised) Alienz x Watermelon Auto 5 Seed,,,,,66.0,,,ACTIVE,H Moon Hydro,simple,0
aquaspinners-2,AquaSpinners,,,hmh01200,,1.15,,,ACTIVE,H Moon Hydro,simple,0
agrowlyte-stop-pm-5-gallon,Agrowlyte Stop PM 5 Gallon,,,,,169.0,199.0,,ACTIVE,H Moon Hydro,simple,0
8-flange,"8"" Flange",,,hmh00741,840470001035.0,15.2,,9.33,DRAFT,H Moon Hydro,simple,13
b-52-vitamin-2-5-gal,B-52 Vitamin (2.5 gal),,,hmh01023,860007760853.0,425.0,,425.0,DRAFT,H Moon Hydro,simple,0
agrowlyte-5-gallon,AGrowLyte 5 gallon,,,,,179.0,199.0,,ACTIVE,H Moon Hydro,simple,0
athena-grow-b,Athena Grow B 1 Gallon,,,,,45.0,,,ACTIVE,H Moon Hydro,simple,0
athena-pk-bloom-booster,Athena PK Bloom Booster-1 gallon,,,,,45.0,,,ACTIVE,H Moon Hydro,simple,0
athena-bloom-b,Athena Bloom B 1 Gallon,,,,,45.0,,,ACTIVE,H Moon Hydro,simple,0
bcuzz-coco-nutrition-componet-a-5l,B'Cuzz CoCo Nutrition Componet A 5L,,,hmh01228,69111163250.0,50.34,,25.75,DRAFT,H Moon Hydro,simple,5
bcuzz-coco-nutrition-componet-a-1l,B'Cuzz CoCo Nutrition Componet A 1L,,,hmh01226,691613431350.0,16.1,,8.05,DRAFT,H Moon Hydro,simple,2
bcuzz-bloom-stimulator-12oz,B'Cuzz Bloom Stimulator - 12oz,,,hmh00273,666884701480.0,46.68,,16.0,ACTIVE,H Moon Hydro,simple,4
bcuzz-booster-pack,B'cuzZ Booster Pack,,,hmh01224,682863044782.0,45.0,20.95,22.5,ACTIVE,H Moon Hydro,simple,6
6-net-pot,"6"" Net Pot",,,hmh01322,793094066037.0,2.33,2.33,0.97,DRAFT,H Moon Hydro,simple,55
6-ft-add-a-lamp-pkg-includes-rail-pushrod-trolley-hardware,6 ft add-a-lamp pkg. Includes rail pushrod trolley & hardware,,,hmh00900,,59.95,,,ACTIVE,H Moon Hydro,simple,0
athenas-aminas-quart,Athena's Aminas Quart,,,hmh01375,812863010139.0,14.66,,7.5,DRAFT,H Moon Hydro,simple,13
accurate-ph-4-replacement-remote-probe,Accurate pH 4 replacement /remote probe,,,hmh01598,987987987987987.0,34.95,,,ACTIVE,H Moon Hydro,simple,0
athena-stack-32-oz,Athena Stack 32 oz,,,,,100.0,,,ACTIVE,H Moon Hydro,simple,0
atami-rootblastic-250-ml,Atami RootBlastic 250 ml,,,hmh01432,908765432114.0,12.95,,5.9,DRAFT,H Moon Hydro,simple,2
aquashield-qt,AquaShield Qt.,,,hmh01178,757900290320.0,14.17,,7.25,DRAFT,H Moon Hydro,simple,2
bcuzz-coco-nutrition-componet-b-5l,B'Cuzz CoCo Nutrition Componet B 5L,,,hmh01229,691613431350.0,16.1,,8.05,DRAFT,H Moon Hydro,simple,2
bcuzz-bio-nrg-bloom-c-1l,B'Cuzz BIO-NRG Bloom-C 1L,,,hmh00257,691111169008.0,16.32,,8.35,DRAFT,H Moon Hydro,simple,31
bcuzz-blossombuilder-355-ml,B`Cuzz BlossomBuilder 355 ml.,,,hmh01434,,46.69,,,ACTIVE,H Moon Hydro,simple,0
bcuzz-hydro-a-1l,B'Cuzz Hydro A 1L,,,hmh00263,4.446464534224234e+16,89.95,,50.0,DRAFT,H Moon Hydro,simple,0
bcuzz-growth-stimulator-12oz,B'Cuzz Growth Stimulator - 12oz,,,hmh00276,131313476879809.0,16.32,,8.8,DRAFT,H Moon Hydro,simple,6
athenas-aminas-gallon,Athena's Aminas Gallon,,,hmh01376,812863010153.0,90.0,,49.5,DRAFT,H Moon Hydro,simple,0
athena-bloom-a-1-gallon-2,Athena Bloom A 1- Gallon,,,,,45.0,,,ACTIVE,H Moon Hydro,simple,0
athena-camg-1-gallon,Athena CaMg 1 Gallon,,,,,45.0,,,ACTIVE,H Moon Hydro,simple,0
bcuzz-root-stimulator-12-oz,B'Cuzz Root Stimulator - 12 oz,,,hmh00282,691111669435.0,21.51,,12.15,DRAFT,H Moon Hydro,simple,7
atami-rootblastic-80-ml,Atami RootBlastic 80 ml.,,,hmh01431,69114577652323.0,43.95,,23.88,DRAFT,H Moon Hydro,simple,16
ac-infinity-self-watering-fabric-pot-base-xl-4-pack,"AC Infinity -Self-Watering Fabric Pot Base XL, 4-Pack",,,,,89.99,90.0,,ACTIVE,H Moon Hydro,simple,0
alfa-grease-alfalfa-extract,Alfa Grease * Alfalfa Extract,,,,,32.97,,,ACTIVE,H Moon Hydro,simple,100
arjans-strawberry-haze-feminised-swiss-sativa-x-nl5-haze-mist-5-seed,Arjan's Strawberry Haze (Feminised) Swiss sativa x NL5 Haze Mist-5 seed,,,,,45.0,,,ACTIVE,H Moon Hydro,simple,0
bcuzz-growth-stimulator-1-gal,B'Cuzz Growth Stimulator - 1 gal,,,hmh00278,691111116294.0,146.63,,82.25,DRAFT,H Moon Hydro,simple,3
all-purpose-feeder-packs-20-ct,All-Purpose feeder packs.- 20 ct.,,,hmh00099,689076421768.0,5.86,,3.0,ACTIVE,H Moon Hydro,simple,16
athena-pro-bloom-10-lb,Athena Pro Bloom 10 lb.,,,,,79.0,110.0,,ACTIVE,H Moon Hydro,simple,0
agrowlyte-plant-wash-30-gallon,AGrowlyte Plant Wash 30 gallon,,,,,750.0,800.0,,ACTIVE,H Moon Hydro,simple,0
athena-mildew-control-32-oz,Athena Mildew Control 32 oz.,,,,,79.0,90.0,,ACTIVE,H Moon Hydro,simple,0
amber-label-sativa,Amber Label * Sativa,,,,,75.97,,,ACTIVE,H Moon Hydro,simple,100
