sku,handle,title,brand,primary_category,secondary_categories,price,compare_at_price,cost,inventory_qty,images,description,vendor,product_type,tags,status,source,needs_review
,self-watering-fabric-pot-base-4-pack,"Self-Watering Fabric Pot Base, 4-Pack",Unknown,containers_pots,catalog_index,25.13,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/seif-watering-xl.jpg?v=1761679066,"[caption id=""attachment_63778"" align=""alignnone"" width=""200""]<img src=""https://hmoonhydro.com/wp-content/uploads/2025/03/seif-watering-xl-200x200.jpg"" alt=""Easy does it"" width=""200"" height=""200"" class=""size-medium wp-image-63778""> #image_title[/caption]",H Moon Hydro,simple,self watering,active,shopify,unknown_brand; no_sku
,mondi-super-saucer-14,"Mondi Super Saucer 14""",Mondi,containers_pots,catalog_index,2.50,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/mondi-super-sausers_4e02f9fc-aa39-476f-90da-80cfd6610c63.jpg?v=1761678985,,H Moon Hydro,simple,,active,shopify,no_sku
,mondi-super-saucer-12,"Mondi Super Saucer 12""",Mondi,containers_pots,catalog_index,2.00,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/mondi-super-sausers_843946d2-b2a6-42e7-8d5f-5fd75734cfd6.jpg?v=1761678985,,H Moon Hydro,simple,,active,shopify,no_sku
,mondi-super-saucer-10,"Mondi Super Saucer 10""",Mondi,containers_pots,catalog_index,1.50,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/mondi-super-sausers_50bf1c14-91b1-425f-a6a1-e42c165f906c.jpg?v=1761678984,,H Moon Hydro,simple,,active,shopify,no_sku
,gro-pro-12-air-pot,"GRO PRO 12"" AIR POT",Gro Pro,containers_pots,catalog_index,8.95,,,0,,,H Moon Hydro,simple,,active,shopify,no_sku
,f-h-d-super-saucer-8,"F.H.D. Super Saucer 8""",FHD,containers_pots,catalog_index,1.00,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/mondi-super-sausers.jpg?v=1761678870,,H Moon Hydro,simple,,active,shopify,no_sku
,cocotek-planter-14-in,CocoTek Planter 14 in.,Cocotek,containers_pots,catalog_index,18.70,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/ct_planters.jpg?v=1761678836,,H Moon Hydro,simple,,active,shopify,no_sku
,ac-infinity-self-watering-fabric-pot-base-xl-4-pack,"AC Infinity -Self-Watering Fabric Pot Base XL, 4-Pack",AC Infinity,containers_pots,catalog_index,89.99,90.00,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/self-wwatering-pro-model.jpg?v=1761678775,,H Moon Hydro,simple,Xtra Lage w/water gage,active,shopify,no_sku
1542,6-net-pot,"6"" Net Pot",Unknown,catalog_index,,1.50,2.33,0.968,0,,"6"" Brown Net Pot/ Mesh Basket",H Moon Hydro,simple,,active,shopify;inventory,unknown_brand
1542,6-net-pot,"6"" Net Pot",Unknown,containers_pots,,1.50,2.33,0.968,0,,"6"" Brown Net Pot/ Mesh Basket",H Moon Hydro,simple,,active,shopify;inventory,unknown_brand; no_sku
,6-in-net-pot-case-of-50,6 in. Net-Pot (case of 50),Unknown,containers_pots,catalog_index,97.00,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/netpots_ab31e436-1bac-40cf-9386-906f8b0737aa.jpg?v=1761678756,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,6-in-bucket-basket,6 in. Bucket Basket,Unknown,containers_pots,catalog_index,3.90,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bucket_baskets3_749deddc-36c5-4016-9517-2b55b82dcf31.jpg?v=1761678756,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
814,5-net-pot,"5"" Net Pot",Unknown,catalog_index,,1.00,0,0.43119,0,,"5"" Mesh Basket",H Moon Hydro,simple,,active,shopify;inventory,unknown_brand
814,5-net-pot,"5"" Net Pot",Unknown,containers_pots,,1.00,0,0.43119,0,,"5"" Mesh Basket",H Moon Hydro,simple,,active,shopify;inventory,unknown_brand; no_sku
,4-76-gallon-bucket-no-handle,4.76 Gallon Bucket - No Handle,Unknown,containers_pots,catalog_index,7.95,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bucket_baskets3_372d0cac-84c5-4316-9b20-042197e84d65.jpg?v=1761678744,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,3-in-net-pot-case-of-100,3 in. Net-Pot (case of 100),Unknown,containers_pots,catalog_index,56.00,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/netpots.jpg?v=1761678742,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,10-in-bucket-basket,10 in. Bucket Basket,Unknown,containers_pots,catalog_index,5.10,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bucket_baskets3_2a2a25fa-ad91-4ab4-8cd9-ceef2cb254a5.jpg?v=1761678736,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,1-1-4-reservoir-filter,"1 1/4"" reservoir filter",Unknown,containers_pots,catalog_index,7.59,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/GH98012.jpg?v=1761678735,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,tsc-1-24-hour-timestat,TSC-1 - 24 hour / Timestat,Titan Controls,catalog_index,controllers_timers,132.00,165.00,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/tsc-1.jpg?v=1761679122,,H Moon Hydro,simple,,active,shopify,no_sku
2268,uno-single-mechanical-timer,UNO Single Mechanical Timer,UNO,catalog_index,,10.99,0,5.95,0,,24 hour timer single outlet,H Moon Hydro,simple,,active,shopify;inventory,
2268,uno-single-mechanical-timer,UNO Single Mechanical Timer,UNO,controllers_timers,,10.99,0,5.95,0,,24 hour timer single outlet,H Moon Hydro,simple,,active,shopify;inventory,no_sku
,timer-frequency-duration-no-photo-eye,Timer / frequency & duration (no photo eye),Unknown,catalog_index,controllers_timers,220.00,275.00,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/cst-1p_d9ba763b-4d6e-4343-92d3-ab06f352fec5.jpg?v=1761679104,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,timer-frequency-duration-photo-eye,Timer/frequency& duration / photo-eye,Unknown,catalog_index,controllers_timers,305.00,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/cst-1p.jpg?v=1761679103,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,cyc-4p-repeat-cycle-timer,CYC-4P - Repeat Cycle Timer,Unknown,catalog_index,controllers_timers,190.00,,,0,,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,24-hour-timer-w-cooling-thermostat,24 Hour Timer w/cooling thermostat,Unknown,catalog_index,controllers_timers,255.00,,,0,,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,24-hour-clock-timers,24 Hour Clock Timers,Unknown,catalog_index,controllers_timers,184.00,230.00,,0,,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,mechanical-timers,Mechanical Timers,Unknown,catalog_index,controllers_timers,,,,,,,,,,active,masters_only,no_source_match; unknown_brand; no_sku
,cst-1p-timer-frequency-duration,CST-1(P) Timer / frequency & duration,Unknown,catalog_index,controllers_timers,,,,,,,,,,active,masters_only,no_source_match; unknown_brand; no_sku
,24-dt-1-24-hour-clock-timer,24-DT-1 -- 24 Hour Clock Timer,Unknown,catalog_index,controllers_timers,,,,,,,,,,active,masters_only,no_source_match; unknown_brand; no_sku
,thermostatically-controlled-centrifugal-fans,Thermostatically Controlled Centrifugal Fans,Unknown,catalog_index,controllers_timers,,,,,,,,,,active,masters_only,no_source_match; unknown_brand; no_sku
,digital-timers,Digital Timers,Unknown,catalog_index,controllers_timers,,,,,,,,,,active,masters_only,no_source_match; unknown_brand; no_sku
hmh01268,uno-8-big-boy-a-c-reflector,"UNO 8"" Big Boy A/C Reflector",UNO,electrical_supplies,catalog_index,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/UNO8-in-pipper.jpg?v=1761679111,,,,,active,shopify,
hid-uno-8-big-boy-a-c-re,uno-8-big-boy-a-c-reflector,"UNO 8"" Big Boy A/C Reflector",UNO,hid_bulbs,catalog_index,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/UNO8-in-pipper.jpg?v=1761679111,,,,,active,shopify,
hmh00513,sunsoaker-parabolic-reflector-w-horizonal-socket-bracket,SunSoaker Parabolic Reflector w/ Horizonal Socket bracket,Sunsoaker,electrical_supplies,catalog_index,99.00,134.00,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/SunSoaker.jpg?v=1761679088,,H Moon Hydro,simple,,active,shopify;woo,
hid-sunsoaker-parabolic-,sunsoaker-parabolic-reflector-w-horizonal-socket-bracket,SunSoaker Parabolic Reflector w/ Horizonal Socket bracket,Sunsoaker,hid_bulbs,catalog_index,99.00,134.00,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/SunSoaker.jpg?v=1761679088,,H Moon Hydro,simple,,active,shopify,
hmh01553,panda-double-ended-reflector-medium,Panda-Double Ended Reflector- Medium,Panda,electrical_supplies,catalog_index,169.00,,,0,,,H Moon Hydro,simple,,active,shopify;woo,
