Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Gift Card,Status
the-root-pouch-65-gallon-w-handle,The Root Pouch 65 Gallon w/ Handle,,Root Pouch,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Root Pouch",TRUE,Title,Default Title,,,,,hmh01139,0,shopify,0,deny,manual,30.20,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_94201d1c-dfd6-4f7f-9faf-1f04e5e4a6c6.jpg?v=1761679103,1,The Root Pouch 65 Gallon w/ Handle,The Root Pouch 65 Gallon w/ Handle | H Moon Hydro,Shop The Root Pouch 65 Gallon w/ Handle by Root Pouch at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
the-root-pouch-25-gallon-w-handle,The Root Pouch 25 Gallon w/ Handle,,Root Pouch,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Root Pouch",TRUE,Title,Default Title,,,,,hmh01135,0,shopify,0,deny,manual,14.80,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch.jpg?v=1761679103,1,The Root Pouch 25 Gallon w/ Handle,The Root Pouch 25 Gallon w/ Handle | H Moon Hydro,Shop The Root Pouch 25 Gallon w/ Handle by Root Pouch at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
the-root-pouch-1-gallon,The Root Pouch 1 Gallon,,Root Pouch,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Root Pouch",TRUE,Title,Default Title,,,,,hmh01127,0,shopify,0,deny,manual,1.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_41320632-fb8f-4714-a8f1-f4bd4f4b05ba.jpg?v=1761679103,1,The Root Pouch 1 Gallon,The Root Pouch 1 Gallon | H Moon Hydro,Shop The Root Pouch 1 Gallon by Root Pouch at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
standard-black-bucket-lid,Standard Black Bucket lid,,Unknown,,Containers Pots,"category:containers_pots, category:catalog_index",TRUE,Title,Default Title,,,,,hmh01759,0,shopify,0,deny,manual,1.98,,TRUE,TRUE,,,,Standard Black Bucket lid,Standard Black Bucket lid | H Moon Hydro,Shop Standard Black Bucket lid by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
standard-3-5-gallon-black-bucket,standard 3.5 gallon black bucket,,Unknown,,Containers Pots,"category:containers_pots, category:catalog_index",TRUE,Title,Default Title,,,,,hmh01757,0,shopify,0,deny,manual,8.99,,TRUE,TRUE,,,,standard 3.5 gallon black bucket,standard 3.5 gallon black bucket | H Moon Hydro,Shop standard 3.5 gallon black bucket by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
standard-5-gallon-black-bucket,Standard 5 Gallon Black Bucket,,Unknown,,Containers Pots,"category:containers_pots, category:catalog_index",TRUE,Title,Default Title,,,,,hmh01758,0,shopify,0,deny,manual,8.99,,TRUE,TRUE,,,,Standard 5 Gallon Black Bucket,Standard 5 Gallon Black Bucket | H Moon Hydro,Shop Standard 5 Gallon Black Bucket by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
self-watering-fabric-pot-base-4-pack,"Self-Watering Fabric Pot Base, 4-Pack","[caption id=""attachment_63778"" align=""alignnone"" width=""200""]<img src=""https://hmoonhydro.com/wp-content/uploads/2025/03/seif-watering-xl-200x200.jpg"" alt=""Easy does it"" width=""200"" height=""200"" class=""size-medium wp-image-63778""> #image_title[/caption]",Unknown,,Containers Pots,"category:containers_pots, category:catalog_index, self watering",TRUE,Title,Default Title,,,,,HMH-POT-9E1130,0,shopify,0,deny,manual,25.13,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/seif-watering-xl.jpg?v=1761679066,1,"Self-Watering Fabric Pot Base, 4-Pack","Self-Watering Fabric Pot Base, 4-Pack | H Moon Hydro","Shop Self-Watering Fabric Pot Base, 4-Pack by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,active
mondi-super-saucer-14,"Mondi Super Saucer 14""",,Mondi,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Mondi",TRUE,Title,Default Title,,,,,hmh01193,0,shopify,0,deny,manual,2.50,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/mondi-super-sausers_4e02f9fc-aa39-476f-90da-80cfd6610c63.jpg?v=1761678985,1,"Mondi Super Saucer 14""","Mondi Super Saucer 14"" | H Moon Hydro","Shop Mondi Super Saucer 14"" by Mondi at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,active
mondi-super-saucer-12,"Mondi Super Saucer 12""",,Mondi,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Mondi",TRUE,Title,Default Title,,,,,hmh01192,0,shopify,0,deny,manual,2.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/mondi-super-sausers_843946d2-b2a6-42e7-8d5f-5fd75734cfd6.jpg?v=1761678985,1,"Mondi Super Saucer 12""","Mondi Super Saucer 12"" | H Moon Hydro","Shop Mondi Super Saucer 12"" by Mondi at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,active
mondi-super-saucer-10,"Mondi Super Saucer 10""",,Mondi,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Mondi",TRUE,Title,Default Title,,,,,hmh01191,0,shopify,0,deny,manual,1.50,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/mondi-super-sausers_50bf1c14-91b1-425f-a6a1-e42c165f906c.jpg?v=1761678984,1,"Mondi Super Saucer 10""","Mondi Super Saucer 10"" | H Moon Hydro","Shop Mondi Super Saucer 10"" by Mondi at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,active
