Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Gift Card,Status
cst-1p-timer-frequency-duration,CST-1(P) Timer / frequency & duration,,Unknown,,Controllers Timers,category:controllers_timers,FALSE,Title,Default Title,,,,,hmh00631,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,CST-1(P) Timer / frequency & duration,CST-1(P) Timer / frequency & duration | H Moon Hydro,Shop CST-1(P) Timer / frequency & duration by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
24-dt-1-24-hour-clock-timer,24-DT-1 -- 24 Hour Clock Timer,,Unknown,,Controllers Timers,category:controllers_timers,FALSE,Title,Default Title,,,,,hmh00632,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,24-DT-1 -- 24 Hour Clock Timer,24-DT-1 -- 24 Hour Clock Timer | H Moon Hydro,Shop 24-DT-1 -- 24 Hour Clock Timer by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
thermostatically-controlled-centrifugal-fans,Thermostatically Controlled Centrifugal Fans,,Unknown,,Controllers Timers,category:controllers_timers,FALSE,Title,Default Title,,,,,hmh00640,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Thermostatically Controlled Centrifugal Fans,Thermostatically Controlled Centrifugal Fans | H Moon Hydro,Shop Thermostatically Controlled Centrifugal Fans by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
digital-timers,Digital Timers,,Unknown,,Controllers Timers,category:controllers_timers,FALSE,Title,Default Title,,,,,hmh01320,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Digital Timers,Digital Timers | H Moon Hydro,Shop Digital Timers by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
uno-8-big-boy-a-c-reflector,"UNO 8"" Big Boy A/C Reflector",,UNO,,Electrical Supplies,"category:electrical_supplies, brand:UNO",FALSE,Title,Default Title,,,,,hmh01268,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/UNO8-in-pipper.jpg?v=1761679111,1,"UNO 8"" Big Boy A/C Reflector","UNO 8"" Big Boy A/C Reflector | H Moon Hydro","Shop UNO 8"" Big Boy A/C Reflector by UNO at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
uno-8-big-boy-a-c-reflector,"UNO 8"" Big Boy A/C Reflector",,UNO,,Hid Bulbs,"category:hid_bulbs, brand:UNO",FALSE,Title,Default Title,,,,,hmh01268,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/UNO8-in-pipper.jpg?v=1761679111,1,"UNO 8"" Big Boy A/C Reflector","UNO 8"" Big Boy A/C Reflector | H Moon Hydro","Shop UNO 8"" Big Boy A/C Reflector by UNO at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,Eye Hortilux e-Start Metal Halide  1000Watt,,Hortilux,,Grow Lights,"category:grow_lights, brand:Hortilux",FALSE,Title,Default Title,,,,,hmh01712,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Eye Hortilux e-Start Metal Halide  1000Watt,Eye Hortilux e-Start Metal Halide  1000Watt | H Moon Hydro,Shop Eye Hortilux e-Start Metal Halide  1000Watt by Hortilux at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,Eye Hortilux e-Start Metal Halide Lamps,,Hortilux,,Grow Lights,"category:grow_lights, brand:Hortilux",FALSE,Title,Default Title,,,,,hmh01713,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Eye Hortilux e-Start Metal Halide Lamps,Eye Hortilux e-Start Metal Halide Lamps | H Moon Hydro,Shop Eye Hortilux e-Start Metal Halide Lamps by Hortilux at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,Eye Hortilux® LU 1000 DE/HTL Double-Ended,,Hortilux,,Grow Lights,"category:grow_lights, brand:Hortilux",FALSE,Title,Default Title,,,,,hmh01788,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Eye Hortilux® LU 1000 DE/HTL Double-Ended,Eye Hortilux® LU 1000 DE/HTL Double-Ended | H Moon Hydro,Shop Eye Hortilux® LU 1000 DE/HTL Double-Ended by Hortilux at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,"Plantmax 1000W. MH Conversion 110,000 lumens",,Plantmax,,Grow Lights,"category:grow_lights, brand:Plantmax",FALSE,Title,Default Title,,,,,hmh00879,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Plantmax 1000W. MH Conversion 110,000 lumens","Plantmax 1000W. MH Conversion 110,000 lumens | H Moon Hydro","Shop Plantmax 1000W. MH Conversion 110,000 lumens by Plantmax at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
