sku,handle,title,brand,vendor,product_type,volume,count,dimensions,source,shopify,woo,inventory,needs_images,needs_description,work_queue
2109,nano-dome-7-vented-sunblaster-t5-light,"Nano Dome 7"" Vented sunblaster t5 light",FHD,FHD,dome,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2195,2-50-count-sheet-of-oasis-root-cubes-in-propagation-tray,"2"" 50 count sheet of oasis root cubes in Propagation tray",Oasis,Oasis,tray,,50,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2308,clonex-mist-vitamihns,Clonex mist vitamihns,Clonex,HDi,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
2391,1-inch-starter-plugs-squares-unwrapped,1 inch starter plugs squares unwrapped,Grodan,Grodan,starter_plug,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2442,ez-clone-cloner-16-spots-sites,ez clone cloner 16 spots sites,EZ-Clone,ez clone,clone_machine,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2434,cloning-machine,cloning machine,Ez clone,Ez clone,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
2484,clonex-gel,clonex gel,Clonex,hydrodynamics,cloning_gel,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2324,rooting-gel-hormone-dyna-gro-root-gel,rooting gel hormone dyna gro root-gel,Dyna-Gro,Dyna-Gro,cloning_gel,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2486,clear-rez-chlorine-ez-clone,clear rez chlorine ez clone,EZ-Clone,ez clone,clone_machine,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2503,ez-clone-cloner-64-site-sites,ez-clone cloner 64 site sites,ez clone,ez clone,clone_machine,,64,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2651,use-this-individually-wrapped-sterilized-scalpel-for-all-your-plant-cuttings-a-sterile-scalpel-will-help-prevent-disease-and-damage-to-any-cutting-,Use this individually wrapped sterilized scalpel for all your plant cuttings. A sterile scalpel will help prevent disease and damage to any cutting.,Growers Edge,Growers Edge,cutting_tool,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2688,rx-green-cloning-solution-gall,RX Green Cloning Solution Gall,rx solutions,rx solutions,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
2892,clonex-mist-300-gram-boost-propagation,Clonex Mist 300 gram
"Boost propagation,Clonex,,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,needs_images", needs_description, needs_classification
2993,clonex-mist-750-ml,Clonex Mist 750 ML,Clonex,hydrodymanics,other,750 ml,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
3009,turboklone-t24-cloner-turbo-mini-with-dome,TurboKlone T24 Cloner Turbo Mini with dome,TurboKlone,turbo clone,clone_machine,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
3010,turboklone-t48-klone-dome,TurboKlone T48 Klone & Dome,TurboKlone,turbo clone,clone_machine,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
3011,turboklone-klone-collars-1-52-pack-1-6-,"TurboKlone Klone Collars (1=52/Pack)-1.6""",TurboKlone,turbo clone,clone_machine,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
3036,clonex-mist-concentrate-qt,Clonex Mist Concentrate QT,Clonex,,other,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
3040,clonex-propagation-packet-20-ml-makes-1-gal-,Clonex propagation packet 20 mL / makes 1 Gal.,Clonex,Hydrodymanics,other,20 ml,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
3066,2-ft-x-4-ft-propagation-tray,2 ft x 4 ft Propagation Tray,,,tray,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
376,55-cell-propagation-insert,55 cell propagation insert,chin up,chin up,insert,,55,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1036,seedling-heat-mat-2-tray,Seedling Heat Mat - 2 Tray,,,tray,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1037,seedling-heat-mat-4-tray,Seedling Heat Mat - 4 Tray,,,tray,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1989,4-x-4-jiffy-pots-10-3-00-,4 x 4 jiffy pots (10/$3.00),Jiffy,,other,,,4x4,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
2593,prop-kit-with-7-dome-w-t5light,"Prop.Kit with 7"" Dome w/T5light",,,dome,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2596,heated-prop-kit-w-7-dome-light,"Heated Prop. Kit w/7""dome/light",,,dome,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
3150,athena-cuts-rooting-gel-14-oz,Athena Cuts Rooting Gel -14 oz,ATHENA,ATHENA,cloning_gel,14 oz,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
3234,35-site-psycloner-pro-aeroponic-cloner,35 Site Psycloner Pro Aeroponic Cloner,,,clone_machine,,35,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
3290,4-trayseedling-heat-mat-21-48,4 TraySeedling Heat Mat 21/48,,,tray,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
3362,vp-dome-48-x18-x72-,"VP DOME 48""x18""x72""",,,dome,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
3492,clonex-32-oz-gell,Clonex 32 oz gell,Clonex,clonex,cloning_gel,32 oz,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
3599,clonex-myco-root-maximizer-8oz-,Clonex Myco Root Maximizer 8oz.,Clonex,hydrodynamics,other,8 oz,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
3636,rapid-rooter-tray-50-per,Rapid Rooter  TRAY   50-per,Rapid Rooter,General Hydroponics,tray,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
