Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
yellow-label-finisher,Yellow Label * Finisher,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,,239.66686849875,shopify,99,deny,manual,75.97,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/GreaseBottle1LYellowcopy-1-scaled.webp?v=1761679122,1,"",false,,,,oz,,,active
ultra-premium-connoisseur-part-a-1-gal,Ultra-premium Connoisseur Part-A (1 gal),"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01066,340.1942775,,0,deny,manual,95.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/advancedConnoisseurA_4bfd15d4-1fa4-4643-91b3-3e427fc86c09.jpg?v=1761679121,1,"",false,,,,oz,,,active
tsc-1-24-hour-timestat,TSC-1 - 24 hour / Timestat,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00634,226.796185,,0,deny,manual,132.00,165.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/tsc-1.jpg?v=1761679122,1,"",false,,,,oz,,,active
uno-gen-2eng,UNO GEN-2eNG,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,GEN-2eNG,708.738078125,shopify,100,deny,manual,200.00,417.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/UNO-GEN-2eNG.jpg?v=1761679122,1,UNO GEN-2eNG,false,,,,oz,,,active
trimpro-xl-replacement-bag,TRIMPRO XL replacement bag,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00764,255.145708125,,0,deny,manual,155.00,,true,true,,,,,,,,,false,,,,oz,,,active
ultragrow-a-c-6-in-with-saftey-glass-socket-set-w-15-ft-cord,Ultragrow A/C 6 in. with saftey glass & socket set w/ 15 ft cord,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00520,0.0,,0,deny,manual,75.00,149.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/ugrac6_b.jpg?v=1761679122,1,"",false,,,,lb,,,active
trimbox-replacement-bag,TRIMBOX replacement bag,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00761,141.747615625,,0,deny,manual,39.00,,true,true,,,,,,,,,false,,,,oz,,,active
ultra-premium-connoisseur-part-a-1-lt,Ultra-premium Connoisseur Part-A (1 lt),"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01065,85.048569375,,0,deny,manual,39.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/advancedConnoisseurA_57a12fe5-bb06-4a6c-9307-803c48f0002f.jpg?v=1761679122,1,"",false,,,,oz,,,active
winter-frost-gallon,Winter Frost Gallon,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01476,283.49523125,,0,deny,manual,130.00,,true,true,,,,,,,,,false,,,,oz,,,active
uno-2-speed-4-in-line-blower-190-cfm,"UNO-2 Speed 4"" in line Blower 190 cfm","",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01584,283.49523125,,0,deny,manual,39.95,104.95,true,true,,,,,,,,,false,,,,oz,,,active
uno-4-x-8-48-x-96-x-78-grow-tent,"UNO 4' x 8 ' (48"" X 96"" X 78"") Grow Tent","",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01382,1984.46661875,,0,deny,manual,299.00,390.00,true,true,,,,,,,,,false,,,,oz,,,active
waterfarm-growing-chamber-2-gal,WaterFarm Growing chamber - 2 gal,"",H Moon Hydro,,simple,GROW LARGE,false,Title,Default Title,,,,,,,,hmh00504,28.349523125,,0,deny,manual,12.99,14.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/OIP-1.jpgwaterfarm-inner-1.jpg?v=1761679116,1,inner bucket,false,,,,oz,,,active
trolley-wheel-replacement-kit,Trolley wheel replacement kit,"<img src=""https://hmoonhydro.com/wp-content/uploads/2019/08/light_rail_access.jpg"" alt="""" width=""175"" height=""187"" class=""alignnone size-full wp-image-545""><img src=""https://hmoonhydro.com/wp-content/uploads/2019/08/light_rail_access.jpg"" alt="""" width=""175"" height=""187"" class=""alignnone size-full wp-image-545"">",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00907,28.349523125,,0,deny,manual,4.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/light_rail_access_877a7c41-8789-48df-98c9-13f5a175e043.jpg?v=1761679116,1,"",false,,,,oz,,,active
